gene_id	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_mRNA_xtail	log2FC_RPF_xtail	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS19355	-2.509070054181	0.0653349469395244	0.376316931217092	2.97930074893669	0.753991258220551	raw_counts / xtail internal size factors	0.044	0.393	2.355	6.14	9.031	79.532	135.977	282.582	9.031	79.532	135.977	282.582
MM_RS16455	1.12040478218406	0.0654492018641537	0.376316931217092	0.00348813070235758	1.12072245776817	raw_counts / xtail internal size factors	0.081	0.073	0.28	0.939	17.105	15.515	16.147	43.488	17.105	15.515	16.147	43.488
MM_RS08015	-0.929476428304743	0.06555127435707	0.376316931217092	-1.60900702253776	-2.53715038528959	raw_counts / xtail internal size factors	0.398	0.121	3.694	1.123	85.101	25.486	223.304	51.132	85.101	25.486	223.304	51.132
MM_RS04190	0.92185191220833	0.065706855323061	0.376580357803119	1.95224081943268	2.87246809456541	raw_counts / xtail internal size factors	0.896	3.144	12.529	137.851	191.536	668.677	713.998	6132.36	191.536	668.677	713.998	6132.36
MM_RS14100	1.55097706614613	0.0660946867164295	0.378171765829171	-0.232806970860151	1.30665780507558	raw_counts / xtail internal size factors	0.104	0.077	1.007	4.288	21.565	16.783	60.157	189.814	21.565	16.783	60.157	189.814
MM_RS18615	2.17718972220439	0.0672567251536491	0.378672775719703	-2.16035397632824	-0.0520085363222894	raw_counts / xtail internal size factors	0.351	0.071	3.044	5.082	75.382	14.946	185.414	244.236	75.382	14.946	185.414	244.236
MM_RS05470	1.52593025353868	0.0664427997722147	0.378672775719703	1.0802058035769	2.60024054234946	raw_counts / xtail internal size factors	0.432	0.865	1.671	15.543	93.722	181.159	95.02	683.422	93.722	181.159	95.02	683.422
MM_RS17250	-1.45869812924028	0.0670852961875422	0.378672775719703	-0.380413250924882	-1.84692990649377	raw_counts / xtail internal size factors	0.047	0.031	0.577	0.343	10.254	6.655	37.464	15.295	10.254	6.655	37.464	15.295
MM_RS05780	-1.4157931471156	0.0671834723597051	0.378672775719703	1.90655957150648	0.48785985259205	raw_counts / xtail internal size factors	0.042	0.142	0.743	2.138	9.27	30.166	47.425	94.161	9.27	30.166	47.425	94.161
MM_RS13595	-1.19757043387693	0.0665512844048603	0.378672775719703	1.5120850631094	0.313875894945456	raw_counts / xtail internal size factors	0.241	0.63	4.023	6.838	50.834	134.228	222.732	306.454	50.834	134.228	222.732	306.454
MM_RS09470	1.12924730835829	0.06640711859068	0.378672775719703	-1.53532088237223	-0.405217017569101	raw_counts / xtail internal size factors	0.194	0.057	1.315	1.603	40.803	12.431	76.227	67.549	40.803	12.431	76.227	67.549
MM_RS07290	-1.12167011007566	0.0672852878499908	0.378672775719703	0.0239769888876601	-1.1021331919073	raw_counts / xtail internal size factors	0.333	0.346	5.214	3.437	70.499	71.818	292.842	158.503	70.499	71.818	292.842	158.503
MM_RS15160	-1.08402289779559	0.0668358818710304	0.378672775719703	0.317446161632595	-0.777418865450404	raw_counts / xtail internal size factors	0.094	0.104	3.881	3.943	20.119	22.261	233.965	182.042	20.119	22.261	233.965	182.042
MM_RS15145	1.07821030722496	0.0671481152482926	0.378672775719703	0.368010673226575	1.44182169650413	raw_counts / xtail internal size factors	0.046	0.052	0.147	0.679	9.74	11.119	8.747	30.561	9.74	11.119	8.747	30.561
MM_RS12985	-0.964281300844616	0.0672486474601066	0.378672775719703	-0.608200904269159	-1.57292707820468	raw_counts / xtail internal size factors	1.578	0.887	25.335	12.982	331.046	192.758	1448.518	565.308	331.046	192.758	1448.518	565.308
MM_RS01510	-1.77573925788958	0.0676846807501169	0.37996130699997	-0.0565709765330871	-1.84495521811346	raw_counts / xtail internal size factors	0.043	0.036	0.487	0.256	9.19	7.754	29.635	10.87	9.19	7.754	29.635	10.87
MM_RS04650	-1.13644296410421	0.0677811039911958	0.37996130699997	0.509355879498714	-0.62658916965507	raw_counts / xtail internal size factors	1.117	1.426	7.502	9.724	237.297	304.675	474.769	440.36	237.297	304.675	474.769	440.36
MM_RS06300	-0.873218681274595	0.0678462805683022	0.37996130699997	0.594412847985166	-0.278030727467609	raw_counts / xtail internal size factors	0.115	0.171	0.639	0.876	24.419	35.779	37.652	38.681	24.419	35.779	37.652	38.681
MM_RS16505	-1.34772487770618	0.0685305782045755	0.382545487766354	1.04000863770574	-0.318071223611433	raw_counts / xtail internal size factors	0.26	0.479	5.546	6.31	56.05	101.975	310.626	286.736	56.05	101.975	310.626	286.736
MM_RS11515	0.886065120315835	0.0684733725572667	0.382545487766354	-1.20999358566301	-0.32319098215548	raw_counts / xtail internal size factors	0.28	0.11	1.811	2.228	59.435	23.411	104.257	100.956	59.435	23.411	104.257	100.956
MM_RS02050	-0.984591913547845	0.0691364115250916	0.385300812931233	0.681315469297278	-0.311011082618689	raw_counts / xtail internal size factors	0.131	0.18	2.865	3.825	27.822	38.838	169.489	174.944	27.822	38.838	169.489	174.944
MM_RS14795	-1.48422395735475	0.0695833706260524	0.386770269327859	1.15969738874294	-0.341651449810967	raw_counts / xtail internal size factors	0.047	0.088	0.975	1.028	9.895	19.127	53.995	48.96	9.895	19.127	53.995	48.96
MM_RS04795	-0.881737362948871	0.0696254082273862	0.386770269327859	0.103206071996317	-0.777642215638879	raw_counts / xtail internal size factors	0.147	0.139	0.784	0.729	31.449	29.851	45.608	32.774	31.449	29.851	45.608	32.774
MM_RS07830	1.1554849119326	0.0700953872843496	0.388751962111748	-0.547002492398189	0.594007427344909	raw_counts / xtail internal size factors	0.031	0.02	0.127	0.324	6.532	4.139	7.552	14.438	6.532	4.139	7.552	14.438
MM_RS17155	-0.835881891310254	0.0709152685251906	0.392664704591902	-1.41762764020783	-2.25613051727756	raw_counts / xtail internal size factors	0.351	0.121	4.265	1.401	73.926	25.777	246.903	62.835	73.926	25.777	246.903	62.835
MM_RS13255	0.988186225281402	0.0712115237916324	0.393670146822341	-0.978833725712303	-0.000185962979509722	raw_counts / xtail internal size factors	0.208	0.091	1.14	1.878	44.043	19.67	66.768	81.487	44.043	19.67	66.768	81.487
MM_RS08680	-1.17871219659385	0.071511592785054	0.394693405194679	-0.126208449821225	-1.30418602776034	raw_counts / xtail internal size factors	0.045	0.036	1.536	1.262	9.567	7.707	97.193	54.619	9.567	7.707	97.193	54.619
