gene_id	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS04095	-0.573603999764005	0.483865475367945	-1.18546172224381	0.235834940357982	0.641378553483376	1014.93431598878	raw_counts / DESeq2 median-of-ratios	2.271	1.84	22.753	25.527	487.754	391.433	1405.33	1155.181	487.754	391.433	1405.33	1155.181
MM_RS14430	-0.787708108266424	0.665545039086426	-1.18355342164024	0.236589887701523	0.642172552332705	839.67101552219	raw_counts / DESeq2 median-of-ratios	0.378	0.356	12.767	13.286	79.852	75.669	786.284	598.075	79.852	75.669	786.284	598.075
MM_RS05450	-0.712088165571512	0.60399504238351	-1.17896359341203	0.238412673089134	0.645856206200446	261.316732924035	raw_counts / DESeq2 median-of-ratios	0.072	0.143	1.017	2.378	15.252	30.715	60.71	106.191	15.252	30.715	60.71	106.191
MM_RS15955	0.73668751213251	0.627022742367057	1.17489759518365	0.240035687845088	0.647722760780424	251.627428403163	raw_counts / DESeq2 median-of-ratios	0.457	0.55	1.031	3.369	98.033	114.738	60.505	154.308	98.033	114.738	60.505	154.308
MM_RS05585	-0.630123410981236	0.536038527011864	-1.17551888386427	0.239787186741031	0.647722760780424	597.342368149691	raw_counts / DESeq2 median-of-ratios	0.243	0.32	6.534	9.827	51.641	67.467	389.696	458.657	51.641	67.467	389.696	458.657
MM_RS16475	-4.38403373240514	3.74278516226024	-1.17132924876662	0.24146645904067	0.649654841332528	559.983858761124	raw_counts / DESeq2 median-of-ratios	0.662	0.582	1.223	2.158	145.307	129.355	68.662	95.366	145.307	129.355	68.662	95.366
MM_RS14620	1.14211851607765	0.977796695857948	1.16805315554428	0.242785324253411	0.649654841332528	444.487975745806	raw_counts / DESeq2 median-of-ratios	0.464	0.081	1.861	2.066	96.021	17.41	112.268	92.672	96.021	17.41	112.268	92.672
MM_RS10775	1.09263644631882	0.936277477128683	1.16700067342178	0.243210097587779	0.649654841332528	248.103166158181	raw_counts / DESeq2 median-of-ratios	0.994	0.462	5.395	10.179	209.556	100.31	351.474	459.712	209.556	100.31	351.474	459.712
MM_RS12120	-0.857670500322636	0.733874301797354	-1.1686885590926	0.242529133133118	0.649654841332528	12183.805264136	raw_counts / DESeq2 median-of-ratios	67.419	26.037	3672.55	1435.512	14388.117	5504.474	239306.796	68302.778	14388.117	5504.474	239306.796	68302.778
MM_RS04765	-0.700539532816254	0.599600300647154	-1.16834419872731	0.242667953679781	0.649654841332528	682.787517754935	raw_counts / DESeq2 median-of-ratios	0.562	0.45	5.629	5.735	119.235	97.512	345.654	252.497	119.235	97.512	345.654	252.497
MM_RS09115	-0.646670687439155	0.554544401577967	-1.16612968339242	0.243562016937934	0.649654841332528	613.143206949579	raw_counts / DESeq2 median-of-ratios	20.591	6.952	183.328	65.675	4394.814	1465.579	10647.497	2941.87	4394.814	1465.579	10647.497	2941.87
MM_RS08250	-1.35244956924449	1.16585460759796	-1.16004994141677	0.246028473404568	0.653805261571787	233.429875787696	raw_counts / DESeq2 median-of-ratios	1.033	0.192	3.073	0.553	216.51	41.772	205.04	22.491	216.51	41.772	205.04	22.491
MM_RS16630	-0.566630422953813	0.48848692030305	-1.15997051180467	0.246060812213751	0.653805261571787	786.101420363216	raw_counts / DESeq2 median-of-ratios	0.518	0.673	3.79	6.715	111.195	142.557	232.199	309.498	111.195	142.557	232.199	309.498
MM_RS08405	-0.759236376103811	0.65685114608235	-1.15587280410808	0.247733188133469	0.656990309638855	394.12734141155	raw_counts / DESeq2 median-of-ratios	0.478	0.868	10.385	22.122	102.092	184.757	657.587	1035.74	102.092	184.757	657.587	1035.74
MM_RS07450	-0.634203955675637	0.549779205336266	-1.15356119242039	0.248680116368634	0.658242979777282	311.43156984934	raw_counts / DESeq2 median-of-ratios	0.319	0.92	1.448	4.524	66.947	195.522	82.967	204.097	66.947	195.522	82.967	204.097
MM_RS03315	0.775781795807564	0.675051168486399	1.14921924740464	0.250465586200937	0.660448228252281	820.779587532882	raw_counts / DESeq2 median-of-ratios	2.358	0.894	10.462	13.204	495.568	189.486	628.498	581.275	495.568	189.486	628.498	581.275
MM_RS02295	-0.756779554210399	0.658166141266151	-1.1498305773593	0.250213658605216	0.660448228252281	356.85326980561	raw_counts / DESeq2 median-of-ratios	0.27	0.097	2.698	1.115	56.882	20.697	161.75	51.188	56.882	20.697	161.75	51.188
MM_RS12930	-0.694873036935754	0.606808361812857	-1.1451276558876	0.252156280752968	0.661205000781729	314.160218617951	raw_counts / DESeq2 median-of-ratios	0.591	0.271	2.426	1.353	125.493	58.09	148.465	60.768	125.493	58.09	148.465	60.768
MM_RS10530	0.659783679059672	0.576519396996367	1.14442581203184	0.252447088597218	0.661205000781729	323.716378621967	raw_counts / DESeq2 median-of-ratios	0.922	0.535	4.652	7.503	194.174	114.042	268.585	349.823	194.174	114.042	268.585	349.823
MM_RS10365	-0.63972332148936	0.558507691153187	-1.14541541973841	0.25203711381119	0.661205000781729	410.973276553456	raw_counts / DESeq2 median-of-ratios	0.283	0.173	2.29	1.974	60.891	37.51	145.233	87.552	60.891	37.51	145.233	87.552
MM_RS04370	0.630223017655904	0.551150974673255	1.14346711992939	0.252844698691675	0.661205000781729	478.912425012383	raw_counts / DESeq2 median-of-ratios	0.2	0.261	0.466	1.919	42.741	56.019	28.573	84.489	42.741	56.019	28.573	84.489
MM_RS11120	-0.57191320325559	0.500464389034705	-1.14276503141152	0.253136161077937	0.661205000781729	864.697310325527	raw_counts / DESeq2 median-of-ratios	2.299	1.09	16.553	10.434	490.479	233.58	998.509	470.335	490.479	233.58	998.509	470.335
MM_RS18200	-1.02995021703579	0.909946106972985	-1.13188045879114	0.257684695216312	0.662625834721494	1622.98535907091	raw_counts / DESeq2 median-of-ratios	0.242	79.643	8.051	2822.759	51.11	16845.398	508.589	134797.892	51.11	16845.398	508.589	134797.892
MM_RS09040	-0.759819967134957	0.666745352984588	-1.13959544484822	0.254454883971852	0.662625834721494	330.671048481003	raw_counts / DESeq2 median-of-ratios	0.314	0.17	3.197	1.879	66.524	35.834	197.563	85.875	66.524	35.834	197.563	85.875
MM_RS03785	-0.725030380402102	0.639066952812893	-1.13451396166057	0.256579020645137	0.662625834721494	4174.67285136586	raw_counts / DESeq2 median-of-ratios	0.144	8.755	0.806	50.271	31.012	1833.238	53.424	2330.644	31.012	1833.238	53.424	2330.644
MM_RS06725	-0.708704481318771	0.624685589457969	-1.134497887063	0.256585759547356	0.662625834721494	1314.25519431993	raw_counts / DESeq2 median-of-ratios	1.101	0.793	7.082	6.451	232.955	170.285	433.342	280.546	232.955	170.285	433.342	280.546
MM_RS12020	-0.670950710504357	0.59186554873952	-1.13362014723321	0.256953918196716	0.662625834721494	231.331344534758	raw_counts / DESeq2 median-of-ratios	0.136	0.136	2.724	3.602	29.027	29.193	168.836	158.736	29.027	29.193	168.836	158.736
MM_RS16150	-0.657176611951005	0.579978359293617	-1.13310540198674	0.257169993110856	0.662625834721494	304.191979685772	raw_counts / DESeq2 median-of-ratios	4.338	10.135	13.29	40.377	932.164	2107.707	817.276	1986.353	932.164	2107.707	817.276	1986.353
MM_RS13285	-0.625960155411532	0.551802871213788	-1.13439089947941	0.256630614741501	0.662625834721494	739.690852968031	raw_counts / DESeq2 median-of-ratios	0.522	0.305	15.77	12.079	112.301	64.694	1004.74	547.098	112.301	64.694	1004.74	547.098
MM_RS10265	-0.622390769098527	0.547235299087291	-1.13733666329015	0.255397573552296	0.662625834721494	2248.98654344035	raw_counts / DESeq2 median-of-ratios	1205.315	1341.852	1240.65	1643.567	255162.777	284095.441	74575.776	75469.088	255162.777	284095.441	74575.776	75469.088
MM_RS06440	-0.587625788078585	0.519480834181504	-1.13117895678375	0.257979777036487	0.662625834721494	556.826153018138	raw_counts / DESeq2 median-of-ratios	0.301	0.61	3.211	7.507	63.997	130.031	185.387	330.763	63.997	130.031	185.387	330.763
MM_RS04325	-0.737015523241142	0.652438179577422	-1.12963273197546	0.258631012726661	0.66307063706447	440.368613608828	raw_counts / DESeq2 median-of-ratios	0.476	0.857	5.038	12.525	102.655	181.246	316.256	534.371	102.655	181.246	316.256	534.371
MM_RS17705	0.751483759169102	0.669053514567658	1.12320426215041	0.261350752843771	0.666348334916013	247.564721479218	raw_counts / DESeq2 median-of-ratios	1.253	3.584	11.427	98.482	262.193	758.82	656.019	4283.258	262.193	758.82	656.019	4283.258
MM_RS17515	0.732721067542108	0.651980178228194	1.12383948471153	0.261081127500143	0.666348334916013	231.862924470884	raw_counts / DESeq2 median-of-ratios	0.34	0.154	2.344	3.168	71.998	33.151	135.209	148.419	71.998	33.151	135.209	148.419
