gene_id	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS01840	-0.0599745462108703	0.426756820961675	0.888236789225759	0.942059471765886	664.143376131516	raw_counts / DESeq2 median-of-ratios	2.098	3.54	125.009	157.571	125.009	157.571
MM_RS00865	-0.0619892706495157	0.443885274448905	0.888935301445955	0.942413299936872	196.996786726629	raw_counts / DESeq2 median-of-ratios	1.019	1.597	59.375	72.757	59.375	72.757
MM_RS18555	0.206918280039749	1.49083984351933	0.889613648440668	0.942553847151555	3.19698178823284	raw_counts / DESeq2 median-of-ratios	0.595	1.056	33.056	46.024	33.056	46.024
MM_RS09480	-0.0574827934303836	0.413404341499337	0.889412703370796	0.942553847151555	2347.63933806851	raw_counts / DESeq2 median-of-ratios	7.268	11.235	420.273	503.777	420.273	503.777
MM_RS02410	0.0601197451180096	0.435890895661183	0.890300610747932	0.942992428556688	444.330423659032	raw_counts / DESeq2 median-of-ratios	2.252	3.73	129.78	168.445	129.78	168.445
MM_RS17760	-0.0812915275719697	0.60317112117526	0.89279090028573	0.945201778303221	409.986657023051	raw_counts / DESeq2 median-of-ratios	38.707	52.546	2154.659	2327.563	2154.659	2327.563
MM_RS01880	0.0670626058550007	0.498262867999776	0.8929338166194	0.945201778303221	202.459163475864	raw_counts / DESeq2 median-of-ratios	2.283	4.385	137.862	192.61	137.862	192.61
MM_RS04485	-0.0534912833082657	0.401030148843224	0.893889150409626	0.9459231389445	2185.88551833452	raw_counts / DESeq2 median-of-ratios	52.994	87.544	3133.873	3952.398	3133.873	3952.398
MM_RS17205	-0.0717449172821085	0.543396484633531	0.894960156174342	0.946766425551662	322.085692174486	raw_counts / DESeq2 median-of-ratios	2.489	3.774	144.448	179.115	144.448	179.115
MM_RS04590	-0.0637980559318431	0.485000838068928	0.895346440559959	0.946885059918585	113.694597754627	raw_counts / DESeq2 median-of-ratios	0.679	1.145	40.661	51.946	40.661	51.946
MM_RS19360	0.114972625115487	0.876716504863082	0.895664538503878	0.946931532290295	13.103794706127	raw_counts / DESeq2 median-of-ratios	0.836	1.766	52.301	78.69	52.301	78.69
MM_RS11205	0.136842745546333	1.05996624535524	0.897277698419073	0.947048800099683	7.77755784665764	raw_counts / DESeq2 median-of-ratios	0.157	0.26	8.988	12.528	8.988	12.528
MM_RS04420	0.0863667281815466	0.666310107737514	0.896867539740384	0.947048800099683	292.88370064512	raw_counts / DESeq2 median-of-ratios	7.304	11.037	404.399	477.848	404.399	477.848
MM_RS14265	-0.0617948255817962	0.478953565194095	0.897341432499645	0.947048800099683	146.638528243547	raw_counts / DESeq2 median-of-ratios	0.513	0.775	29.438	34.836	29.438	34.836
MM_RS14450	-0.0604899771507241	0.467113265685369	0.896964041919656	0.947048800099683	299.401687139745	raw_counts / DESeq2 median-of-ratios	3.613	5.729	210.051	250.079	210.051	250.079
MM_RS15765	0.0602728268508732	0.467519503403722	0.897420591408877	0.947048800099683	126.423123809438	raw_counts / DESeq2 median-of-ratios	1.087	1.93	64.293	88.108	64.293	88.108
MM_RS03100	-0.0579732348550445	0.449449540617384	0.897367782294905	0.947048800099683	3791.66135957069	raw_counts / DESeq2 median-of-ratios	23.337	40.744	1409.379	1845.746	1409.379	1845.746
MM_RS12000	-0.0660940626282553	0.51581212692175	0.898041408450787	0.947414485274594	638.663257625565	raw_counts / DESeq2 median-of-ratios	20.066	36.326	1231.959	1659.12	1231.959	1659.12
MM_RS04820	0.38757883069487	3.06177826282725	0.899267931464039	0.947828514349747	95.3513882296761	raw_counts / DESeq2 median-of-ratios	0.295	0.486	15.737	20.127	15.737	20.127
MM_RS08690	-0.0819854809476598	0.648612381918526	0.899414233278571	0.947828514349747	584.985209822603	raw_counts / DESeq2 median-of-ratios	626.482	1250.265	40011.011	56009.869	40011.011	56009.869
MM_RS16935	0.0687003174402954	0.540363815802731	0.898831845740528	0.947828514349747	93.8928755816907	raw_counts / DESeq2 median-of-ratios	0.494	0.817	28.202	35.835	28.202	35.835
MM_RS05385	-0.0528666041751342	0.418734846841476	0.899531519987976	0.947828514349747	387.731794803659	raw_counts / DESeq2 median-of-ratios	5.103	8.066	297.27	364.838	297.27	364.838
MM_RS16995	0.0564701600299974	0.453091660357212	0.90081412435766	0.94889051098852	210.11730543421	raw_counts / DESeq2 median-of-ratios	5.475	9.132	315.848	407.96	315.848	407.96
MM_RS18615	-0.0882262216021257	0.711174224799876	0.901270054155827	0.949081331418972	41.5079813401593	raw_counts / DESeq2 median-of-ratios	3.044	5.082	185.414	244.236	185.414	244.236
MM_RS14990	-0.0969436244956525	0.800563627907349	0.903616410806694	0.949604876530406	2133.08330349006	raw_counts / DESeq2 median-of-ratios	171.882	209.682	9339.837	9663.775	9339.837	9663.775
MM_RS04425	0.0814071112886968	0.672047268322383	0.903585680163772	0.949604876530406	218.530910550235	raw_counts / DESeq2 median-of-ratios	2.227	3.286	122.837	146.363	122.837	146.363
MM_RS00940	0.0753389669248761	0.622640592428426	0.90369172818629	0.949604876530406	93.9593062765989	raw_counts / DESeq2 median-of-ratios	0.875	1.361	49.481	64.362	49.481	64.362
MM_RS07740	-0.0621942993775943	0.512434885709685	0.903397858246556	0.949604876530406	688.95810254707	raw_counts / DESeq2 median-of-ratios	2.378	4.202	144.821	194.648	144.821	194.648
MM_RS00610	0.0616604630894437	0.502817759066111	0.902400221124446	0.949604876530406	80.7879482645335	raw_counts / DESeq2 median-of-ratios	7.76	14.293	463.886	640.506	463.886	640.506
MM_RS02365	0.0590806455007019	0.485407380803074	0.903125898016039	0.949604876530406	621.981613275763	raw_counts / DESeq2 median-of-ratios	1.995	3.852	120.977	169.657	120.977	169.657
MM_RS10185	-0.056580328953973	0.460021670011949	0.902111119897716	0.949604876530406	437.937477593662	raw_counts / DESeq2 median-of-ratios	14.769	25.842	891.546	1157.186	891.546	1157.186
MM_RS04510	-0.0607839115338732	0.507871491896848	0.904733756322708	0.95041070387428	329.928862459918	raw_counts / DESeq2 median-of-ratios	1.794	3.217	109.086	141.116	109.086	141.116
MM_RS04400	-0.054397353677809	0.461899652786344	0.906250875740721	0.951521655622436	112.350147324156	raw_counts / DESeq2 median-of-ratios	2.142	3.457	125.656	155.774	125.656	155.774
MM_RS12240	0.049730084384839	0.422682897430233	0.906342283438857	0.951521655622436	271.259587527005	raw_counts / DESeq2 median-of-ratios	4.17	7.28	245.191	328.151	245.191	328.151
MM_RS06545	-0.108857269302463	0.947024739306248	0.908487452247575	0.952037518223035	10551.1641263298	raw_counts / DESeq2 median-of-ratios	10219.817	21538.649	680623.63	1066071.736	680623.63	1066071.736
MM_RS13890	0.0729620147225423	0.627455435283799	0.90742874534862	0.952037518223035	104.103184883114	raw_counts / DESeq2 median-of-ratios	4.07	6.351	227.743	275.745	227.743	275.745
MM_RS03690	-0.0672100677265476	0.584002888384158	0.908377619802023	0.952037518223035	55.7573759636421	raw_counts / DESeq2 median-of-ratios	2.508	3.888	144.121	168.645	144.121	168.645
MM_RS16275	-0.0628126412328727	0.544043696828089	0.908084375648815	0.952037518223035	48.3711191319476	raw_counts / DESeq2 median-of-ratios	0.44	0.69	25.644	31.327	25.644	31.327
MM_RS08505	0.0604914188383259	0.52466869945813	0.908211692416933	0.952037518223035	177.225256218763	raw_counts / DESeq2 median-of-ratios	0.339	0.575	19.577	24.812	19.577	24.812
MM_RS16635	-0.0601823097843139	0.51938259409771	0.907753361561288	0.952037518223035	91.1901493788756	raw_counts / DESeq2 median-of-ratios	0.48	0.73	27.743	33.78	27.743	33.78
MM_RS16930	0.0649034878047384	0.566452127532184	0.908778868341679	0.952054052548425	64.3302550652093	raw_counts / DESeq2 median-of-ratios	0.298	0.474	16.94	21.597	16.94	21.597
MM_RS18815	-0.172939698415323	1.532951162294	0.910177322677862	0.95210116826856	3.36246178406261	raw_counts / DESeq2 median-of-ratios	0.201	0.238	11.058	11.592	11.058	11.592
MM_RS19095	-0.166950045103774	1.47594420696746	0.909940126375032	0.95210116826856	3.53031950565059	raw_counts / DESeq2 median-of-ratios	0.145	0.23	9.076	11.194	9.076	11.194
MM_RS06550	-0.106595317655495	0.946767833046898	0.910356679238253	0.95210116826856	10531.1737998873	raw_counts / DESeq2 median-of-ratios	10197.654	21513.474	679007.857	1064993.194	679007.857	1064993.194
MM_RS10825	0.0831409433318875	0.740768242398014	0.910636201189748	0.95210116826856	33.2910452713211	raw_counts / DESeq2 median-of-ratios	0.283	0.61	17.943	27.067	17.943	27.067
MM_RS03405	0.0734739527154855	0.656319150888485	0.91086423085798	0.95210116826856	442.258562877316	raw_counts / DESeq2 median-of-ratios	2.321	3.904	132.817	162.042	132.817	162.042
MM_RS03345	-0.0636538854157564	0.567069405188913	0.910624703441741	0.95210116826856	41.4687355579765	raw_counts / DESeq2 median-of-ratios	1.826	2.83	105.881	128.188	105.881	128.188
MM_RS10950	-0.0554748936796604	0.495595141673475	0.91087422264366	0.95210116826856	500.404784991401	raw_counts / DESeq2 median-of-ratios	2.649	4.686	161.018	215.365	161.018	215.365
MM_RS13090	0.0507331083318809	0.455442504650971	0.911304708250104	0.95210116826856	191.377839569514	raw_counts / DESeq2 median-of-ratios	1.292	2.137	74.584	96.87	74.584	96.87
MM_RS12330	0.0472110321458912	0.423111338412955	0.911155926536914	0.95210116826856	777.681394813533	raw_counts / DESeq2 median-of-ratios	3.136	5.216	181.286	232.966	181.286	232.966
MM_RS19130	-0.0481692096797541	0.435960568127925	0.912020913842973	0.952561305235449	348.541013549921	raw_counts / DESeq2 median-of-ratios	1.104	1.864	65.565	82.627	65.565	82.627
MM_RS18800	-0.241287611554953	2.20868738842157	0.913008327822942	0.952567373597221	2.29780820372584	raw_counts / DESeq2 median-of-ratios	0.423	0.414	22.517	21.479	22.517	21.479
MM_RS14085	-0.0677640914261426	0.615731310977004	0.912366036881338	0.952567373597221	77.7323717119878	raw_counts / DESeq2 median-of-ratios	0.555	0.779	31.054	34.807	31.054	34.807
MM_RS14910	-0.057963457206795	0.533027431557303	0.913405657601041	0.952567373597221	61.9142965725328	raw_counts / DESeq2 median-of-ratios	0.244	0.4	14.317	17.542	14.317	17.542
MM_RS12955	-0.0530188380882582	0.487415493470359	0.913380598841511	0.952567373597221	172.85441221411	raw_counts / DESeq2 median-of-ratios	20.44	33.511	1198.914	1457.461	1198.914	1457.461
MM_RS09310	0.0471320313559042	0.432700282242604	0.913261696822772	0.952567373597221	521.960053010312	raw_counts / DESeq2 median-of-ratios	0.791	1.425	47.116	64.904	47.116	64.904
MM_RS03710	-0.0848740981589247	0.79636176742509	0.915124316849179	0.952684984016146	8146.20462372449	raw_counts / DESeq2 median-of-ratios	8193.689	17202.613	538132.261	817298.959	538132.261	817298.959
MM_RS15630	0.0837287032262522	0.787007874717024	0.915274000078514	0.952684984016146	14.0078151233756	raw_counts / DESeq2 median-of-ratios	1.079	1.908	62.841	84.746	62.841	84.746
MM_RS02270	0.064045158609098	0.597152179150644	0.914589869533914	0.952684984016146	55.0121757216115	raw_counts / DESeq2 median-of-ratios	0.203	0.385	12.166	16.594	12.166	16.594
MM_RS14250	-0.0584605714352161	0.550642884426404	0.915449178329354	0.952684984016146	64.6852015710405	raw_counts / DESeq2 median-of-ratios	0.815	1.214	46.574	55.385	46.574	55.385
MM_RS13740	-0.0574049095994042	0.538460088510962	0.915098857079184	0.952684984016146	164.600867796848	raw_counts / DESeq2 median-of-ratios	0.689	0.994	39.054	45.822	39.054	45.822
MM_RS04870	0.051189964652261	0.481278890776429	0.915294846086437	0.952684984016146	87.1837376265182	raw_counts / DESeq2 median-of-ratios	0.699	1.232	41.191	55.29	41.191	55.29
MM_RS07770	-0.0436943021206989	0.406954775473621	0.914496295787113	0.952684984016146	821.050408690664	raw_counts / DESeq2 median-of-ratios	5.341	8.897	315.759	398.873	315.759	398.873
MM_RS14335	0.0814777372348542	0.772713803924183	0.916023808772586	0.952895489651837	25.4196617818041	raw_counts / DESeq2 median-of-ratios	0.494	0.799	27.682	34.173	27.682	34.173
MM_RS02075	0.0792814900204802	0.755172099946063	0.916387976932288	0.952895489651837	18658.4459255901	raw_counts / DESeq2 median-of-ratios	18293.184	41979.603	1189006.185	1990938.338	1189006.185	1990938.338
MM_RS09295	0.0482198024893738	0.459806255865317	0.916479101512276	0.952895489651837	176.709928011926	raw_counts / DESeq2 median-of-ratios	1.39	2.513	82.945	114.258	82.945	114.258
MM_RS14315	0.0680284335812452	0.652580745368633	0.91697473664231	0.953123906218037	96.9506479569336	raw_counts / DESeq2 median-of-ratios	0.98	1.476	54.428	65.104	54.428	65.104
MM_RS09005	0.467793123796437	4.56903731413404	0.918452437680653	0.953798773225789	35.7747777035489	raw_counts / DESeq2 median-of-ratios	0.121	0.197	6.448	10.216	6.448	10.216
MM_RS01810	-0.0746346969378422	0.728593692209002	0.918410094284648	0.953798773225789	25.0550353069802	raw_counts / DESeq2 median-of-ratios	0.327	0.496	18.56	21.258	18.56	21.258
