gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS10720	-0.316740648979184	0.487877512357674	0.516195112673208	0.71055626428592	620.968362809832	raw_counts / DESeq2 median-of-ratios	1.389	1.023	298.995	217.596	298.995	217.596
MM_RS12210	0.314004864957662	0.483660216770788	0.516192205586961	0.71055626428592	78.5204864751997	raw_counts / DESeq2 median-of-ratios	0.194	0.225	41.098	48.046	41.098	48.046
MM_RS09725	-0.388723427703626	0.602337572263378	0.518695153374891	0.713376856803039	41.4126502852183	raw_counts / DESeq2 median-of-ratios	0.201	0.149	42.535	31.444	42.535	31.444
MM_RS06650	-0.377629358182917	0.585359092142913	0.518846655784394	0.713376856803039	3919.90158402741	raw_counts / DESeq2 median-of-ratios	1875.462	1328.171	391427.441	286551.523	391427.441	286551.523
MM_RS09740	-0.249769442915113	0.388713977912757	0.520514004374704	0.715258037045929	435.590815341258	raw_counts / DESeq2 median-of-ratios	1.058	0.825	224.056	176.464	224.056	176.464
MM_RS00745	-0.425001624444006	0.662649028685139	0.521283871217441	0.715493533915558	43.2937863962857	raw_counts / DESeq2 median-of-ratios	0.096	0.063	20.154	13.662	20.154	13.662
MM_RS01970	0.364555122355044	0.56832621703985	0.521227761618644	0.715493533915558	67.2705487613801	raw_counts / DESeq2 median-of-ratios	0.546	0.712	115.917	149.136	115.917	149.136
MM_RS05140	0.306136582203483	0.477695566041819	0.521612827692162	0.715534292032105	94.5695586667921	raw_counts / DESeq2 median-of-ratios	0.706	0.779	150.171	167.823	150.171	167.823
MM_RS01670	-0.42824106803211	0.670387656690221	0.522955539669804	0.71668779831343	41.6493949185216	raw_counts / DESeq2 median-of-ratios	0.766	0.576	161.161	120.839	161.161	120.839
MM_RS14650	0.358659099486658	0.561592900391337	0.523053202867811	0.71668779831343	89.0633919166833	raw_counts / DESeq2 median-of-ratios	0.185	0.243	39.392	50.718	39.392	50.718
MM_RS00710	0.337556351568371	0.528980268756765	0.523391307836618	0.716740330491039	3489.00453659508	raw_counts / DESeq2 median-of-ratios	1970.632	2387.419	424843.579	502828.791	424843.579	502828.791
MM_RS00725	0.338067663826855	0.530676253966972	0.524091838320617	0.71689905442776	3489.84735201089	raw_counts / DESeq2 median-of-ratios	1971.037	2388.858	424970.909	503123.701	424970.909	503123.701
MM_RS01340	0.298858057956172	0.469144613537807	0.524106878770274	0.71689905442776	177.421668761056	raw_counts / DESeq2 median-of-ratios	1.107	1.275	233.435	272.612	233.435	272.612
MM_RS17525	0.240621806397759	0.378252068010758	0.524684252811666	0.717278472540134	441.338769572515	raw_counts / DESeq2 median-of-ratios	0.323	0.345	68.739	73.998	68.739	73.998
MM_RS00300	-0.296222334121284	0.466688607320113	0.525603022388801	0.718123900875213	154.132108629168	raw_counts / DESeq2 median-of-ratios	2.339	1.885	497.999	396.296	497.999	396.296
MM_RS14525	0.342804978359584	0.540501363290191	0.525927353082271	0.718156654037526	62.474958600032	raw_counts / DESeq2 median-of-ratios	0.278	0.346	58.96	72.849	58.96	72.849
MM_RS11645	0.475749910644143	0.750809041144653	0.526309469533391	0.718268231537864	37.7168838831413	raw_counts / DESeq2 median-of-ratios	0.367	0.484	76.515	103.57	76.515	103.57
MM_RS00760	0.349206298115679	0.554837874479981	0.529097433878918	0.720838726156407	47.5118690962869	raw_counts / DESeq2 median-of-ratios	0.183	0.219	38.82	46.665	38.82	46.665
MM_RS00495	-0.342232532276993	0.543301151070472	0.528751417445873	0.720838726156407	60.3123951681288	raw_counts / DESeq2 median-of-ratios	0.224	0.167	47.848	35.47	47.848	35.47
MM_RS05120	0.33528755183275	0.532709118548734	0.529086686447025	0.720838726156407	111.05362758876	raw_counts / DESeq2 median-of-ratios	0.451	0.523	94.966	112.438	94.966	112.438
MM_RS13305	0.288202602870793	0.458338091233952	0.529480555597822	0.720949890907968	844.19868540879	raw_counts / DESeq2 median-of-ratios	1.876	2.088	403.183	445.189	403.183	445.189
MM_RS17085	-0.298586847113848	0.475417628862267	0.529970076408445	0.721205721509728	178.009558197336	raw_counts / DESeq2 median-of-ratios	0.797	0.633	168.07	134.059	168.07	134.059
MM_RS11815	-0.263866138274975	0.421379631619919	0.531186548569214	0.72244996452161	146.398135825341	raw_counts / DESeq2 median-of-ratios	0.252	0.195	53.55	41.649	53.55	41.649
MM_RS02300	-0.358322957781294	0.573230977844009	0.531909694324771	0.72291281352407	43.0412124714819	raw_counts / DESeq2 median-of-ratios	0.332	0.241	70.707	51.389	70.707	51.389
MM_RS00885	-0.355082643166184	0.568823142166004	0.53246942145099	0.72291281352407	49.6579940558631	raw_counts / DESeq2 median-of-ratios	0.04	0.028	8.489	5.986	8.489	5.986
MM_RS16075	0.344809640100938	0.553300393955869	0.533161610882297	0.72291281352407	53.8784826702399	raw_counts / DESeq2 median-of-ratios	0.158	0.182	33.744	39.031	33.744	39.031
MM_RS03735	0.340860245209391	0.5461865435341	0.532579680286345	0.72291281352407	76.1958232557183	raw_counts / DESeq2 median-of-ratios	0.187	0.225	39.296	47.987	39.296	47.987
MM_RS13730	0.330970058237116	0.531348456645643	0.533358766454128	0.72291281352407	76.4153608342059	raw_counts / DESeq2 median-of-ratios	0.379	0.453	79.825	96.427	79.825	96.427
MM_RS13380	0.313552787521482	0.503990044127764	0.53384926507926	0.72291281352407	81.2895444835929	raw_counts / DESeq2 median-of-ratios	0.209	0.255	44.458	53.716	44.458	53.716
MM_RS13100	0.267054978779386	0.42851182820121	0.533143276896318	0.72291281352407	157.589911220449	raw_counts / DESeq2 median-of-ratios	0.497	0.557	105.309	119.059	105.309	119.059
MM_RS07755	0.255761873065176	0.411196515689336	0.533945641440196	0.72291281352407	1240.1532597397	raw_counts / DESeq2 median-of-ratios	703.399	724.175	149904.509	156951.437	149904.509	156951.437
MM_RS04515	-0.267785161765746	0.431312610287059	0.53469110908388	0.723512417554927	143.144944727204	raw_counts / DESeq2 median-of-ratios	0.155	0.117	32.998	25.017	32.998	25.017
MM_RS13985	-0.483996774133248	0.78302059759516	0.536499537355138	0.724729036054313	33.2049552828908	raw_counts / DESeq2 median-of-ratios	0.13	0.073	27.747	16.334	27.747	16.334
MM_RS08960	-0.297494983797736	0.480812224133944	0.536091452700764	0.724729036054313	93.3288938499066	raw_counts / DESeq2 median-of-ratios	0.452	0.329	96.456	70.847	96.456	70.847
MM_RS06745	0.282069402353924	0.456003480775923	0.53620063949218	0.724729036054313	316.468941630673	raw_counts / DESeq2 median-of-ratios	1.069	1.187	225.259	255.264	225.259	255.264
MM_RS09745	-0.346922911158501	0.562368139080605	0.537303025505566	0.725404592876233	92.7163627537818	raw_counts / DESeq2 median-of-ratios	1.417	1.026	297.652	220.687	297.652	220.687
MM_RS09190	0.243441484773813	0.396295781898922	0.539022127456204	0.727314845794461	1033.84967622733	raw_counts / DESeq2 median-of-ratios	1.957	2.246	413.711	476.134	413.711	476.134
MM_RS16960	0.373352161504047	0.60902859334551	0.539857195098487	0.727600737535125	40.7654990137931	raw_counts / DESeq2 median-of-ratios	0.088	0.101	18.834	21.78	18.834	21.78
MM_RS09615	-0.343702666097188	0.560252442839157	0.539560185958396	0.727600737535125	137.344845967988	raw_counts / DESeq2 median-of-ratios	0.351	0.228	75.256	49.804	75.256	49.804
MM_RS07515	0.262191863962021	0.428004885899627	0.540146929788728	0.727600737535125	162.247014034103	raw_counts / DESeq2 median-of-ratios	0.794	0.892	169.385	189.573	169.385	189.573
MM_RS12515	-0.386617578443492	0.634357353649139	0.542217336948356	0.729567615443737	43.1175182815597	raw_counts / DESeq2 median-of-ratios	0.193	0.134	40.678	28.828	40.678	28.828
MM_RS06135	-0.2813605595191	0.461575861890133	0.542149903129929	0.729567615443737	102.145619127386	raw_counts / DESeq2 median-of-ratios	0.244	0.187	51.676	39.878	51.676	39.878
MM_RS01550	-0.265641752894924	0.438037616838273	0.544225310394224	0.731857546205056	160.861451595502	raw_counts / DESeq2 median-of-ratios	0.296	0.24	62.887	50.643	62.887	50.643
MM_RS07195	-0.287808789724549	0.476308247036596	0.545678097054744	0.732900150319716	129.95494349148	raw_counts / DESeq2 median-of-ratios	0.153	0.115	32.706	24.465	32.706	24.465
MM_RS00560	-0.247288310523792	0.409808596065103	0.54622671178157	0.732900150319716	223.095340785758	raw_counts / DESeq2 median-of-ratios	0.401	0.305	85.263	65.615	85.263	65.615
MM_RS07715	0.243562678515258	0.403487007007797	0.546080076590708	0.732900150319716	203.932719682596	raw_counts / DESeq2 median-of-ratios	0.514	0.569	109.492	121.07	109.492	121.07
MM_RS05925	0.238144820976237	0.394483110004289	0.546050923069989	0.732900150319716	453.005957145926	raw_counts / DESeq2 median-of-ratios	0.874	0.951	186.721	202.723	186.721	202.723
MM_RS01400	0.390361777438021	0.649183104956181	0.547632007425976	0.733140050255044	153.302698126085	raw_counts / DESeq2 median-of-ratios	0.148	0.201	31.884	41.719	31.884	41.719
MM_RS11305	-0.343688572337524	0.571383126007212	0.547505121572018	0.733140050255044	182.838085442648	raw_counts / DESeq2 median-of-ratios	0.309	0.218	64.827	47.175	64.827	47.175
MM_RS02640	-0.338089374626092	0.561714456597566	0.547248474761925	0.733140050255044	47.2719952315374	raw_counts / DESeq2 median-of-ratios	0.228	0.172	48.474	36.433	48.474	36.433
MM_RS09405	0.307576246571519	0.511161647262283	0.547360456332183	0.733140050255044	63.2337135787994	raw_counts / DESeq2 median-of-ratios	0.093	0.107	19.726	22.909	19.726	22.909
MM_RS04055	0.402239419140438	0.670019966402951	0.548280031342344	0.733596841040595	539.843504694637	raw_counts / DESeq2 median-of-ratios	2.873	3.103	623.05	674.586	623.05	674.586
MM_RS17050	0.348539484579082	0.581518105578461	0.548931935906675	0.733647992595226	53.9993762847847	raw_counts / DESeq2 median-of-ratios	0.047	0.052	10.04	11.398	10.04	11.398
MM_RS09035	-0.265361151968023	0.442467504384686	0.548686017268573	0.733647992595226	116.342950749113	raw_counts / DESeq2 median-of-ratios	0.278	0.218	59.086	46.414	59.086	46.414
MM_RS04385	0.323994598276609	0.542250970237707	0.55017404573097	0.734897286783659	57.2525673829215	raw_counts / DESeq2 median-of-ratios	0.07	0.082	14.901	17.49	14.901	17.49
MM_RS15740	-0.294258493918966	0.492885249072299	0.550499252923447	0.734921113199309	994.957237001869	raw_counts / DESeq2 median-of-ratios	1.287	1.017	276.703	213.969	276.703	213.969
MM_RS11140	-0.288363113845505	0.484942208492542	0.552088163491964	0.736220189018007	91.6523359859562	raw_counts / DESeq2 median-of-ratios	0.391	0.295	83.593	62.893	83.593	62.893
MM_RS11450	-0.247030799546	0.415244036855897	0.551906901151737	0.736220189018007	334.301887946647	raw_counts / DESeq2 median-of-ratios	0.28	0.207	59.785	44.799	59.785	44.799
MM_RS12190	-0.382588458818693	0.64464464345206	0.552855028005359	0.736831868428547	82.0718103602598	raw_counts / DESeq2 median-of-ratios	0.467	0.284	100.005	62.857	100.005	62.857
MM_RS10450	0.257513841563946	0.43512796493856	0.553976655391362	0.737791738835155	3381.88010313992	raw_counts / DESeq2 median-of-ratios	1331.962	1447.545	280726.855	311683.641	280726.855	311683.641
MM_RS09950	-0.256484796800795	0.433625147774227	0.554192372625654	0.737791738835155	130.789918550726	raw_counts / DESeq2 median-of-ratios	0.096	0.076	20.402	16.123	20.402	16.123
MM_RS03660	0.306663368826249	0.51916763060131	0.554733001552234	0.7381005045695	64.2139904708758	raw_counts / DESeq2 median-of-ratios	0.056	0.065	11.984	13.858	11.984	13.858
MM_RS06795	-1.53391211395827	2.60024831368281	0.555251084569472	0.738378945053174	54.6323743674386	raw_counts / DESeq2 median-of-ratios	0.108	0.046	22.813	9.406	22.813	9.406
MM_RS04715	-0.28850555492151	0.489547777547603	0.555639426390172	0.738484640633075	273.967037764315	raw_counts / DESeq2 median-of-ratios	0.665	0.469	140.438	102.08	140.438	102.08
MM_RS05520	-0.406507482836812	0.692937548113315	0.557442992115128	0.740470107859596	41.5850730200118	raw_counts / DESeq2 median-of-ratios	0.16	0.103	33.59	22.629	33.59	22.629
MM_RS12070	0.220839379433333	0.377991279917388	0.559055731699306	0.742200030257102	442.973769421115	raw_counts / DESeq2 median-of-ratios	0.268	0.288	56.95	61.602	56.95	61.602
MM_RS02260	0.317723862171448	0.549179658730532	0.562897802596112	0.746886041069536	61.5252309695607	raw_counts / DESeq2 median-of-ratios	0.142	0.156	30.368	33.651	30.368	33.651
MM_RS02355	0.332510311945581	0.576744131016645	0.564256977060761	0.747859441326098	230.93256736721	raw_counts / DESeq2 median-of-ratios	0.49	0.556	102.55	120.296	102.55	120.296
MM_RS06960	0.282014816792094	0.488918156898581	0.564065140042447	0.747859441326098	120.957992633184	raw_counts / DESeq2 median-of-ratios	0.487	0.57	102.728	121.089	102.728	121.089
MM_RS12715	0.37045751879565	0.644148218669776	0.565215396860525	0.748714689137682	41.0852273843322	raw_counts / DESeq2 median-of-ratios	0.096	0.12	20.657	25.294	20.657	25.294
MM_RS16735	0.301708690452045	0.527551676554936	0.567387301121051	0.751175546500793	62.5046596492329	raw_counts / DESeq2 median-of-ratios	0.135	0.157	28.788	33.261	28.788	33.261
MM_RS06945	-0.308247748106449	0.539551505546749	0.56779382340229	0.751297748619189	103.763559238238	raw_counts / DESeq2 median-of-ratios	0.273	0.209	57.474	44.633	57.474	44.633
MM_RS04750	0.305581435458093	0.537018692442709	0.569333646831948	0.752502349129457	350.640761323889	raw_counts / DESeq2 median-of-ratios	0.41	0.475	88.317	100.487	88.317	100.487
MM_RS09280	0.232291462766322	0.408174725329963	0.569289564195346	0.752502349129457	182.62021278585	raw_counts / DESeq2 median-of-ratios	0.43	0.475	91.516	101.023	91.516	101.023
MM_RS02655	0.449243395252313	0.793658724384621	0.571365894625843	0.753938109299332	43.1897617721732	raw_counts / DESeq2 median-of-ratios	0.194	0.203	41.83	45.226	41.83	45.226
MM_RS08940	-0.327838369977727	0.579134711042762	0.571337294196459	0.753938109299332	42.9222655168743	raw_counts / DESeq2 median-of-ratios	0.09	0.065	19.241	14.048	19.241	14.048
MM_RS15455	0.265396973135505	0.468735845617599	0.571259660917147	0.753938109299332	92.3382900757896	raw_counts / DESeq2 median-of-ratios	0.124	0.141	26.482	29.924	26.482	29.924
MM_RS16535	-0.250762575148539	0.446056830590323	0.573995912451795	0.756990748302394	130.992029181226	raw_counts / DESeq2 median-of-ratios	0.167	0.133	35.463	28.361	35.463	28.361
MM_RS06545	0.430793663777503	0.767487234353041	0.574590307051126	0.757356904167167	23201.9987606466	raw_counts / DESeq2 median-of-ratios	12504.48	18256.039	2704706.81	3750107.764	2704706.81	3750107.764
MM_RS06625	0.303932685180998	0.543021797953256	0.575679829908379	0.758374916424757	844.579924490326	raw_counts / DESeq2 median-of-ratios	482.898	580.224	104073.859	121846.482	104073.859	121846.482
MM_RS12415	0.248657676364005	0.445439752941744	0.57668757822252	0.759284140710377	160.420537880353	raw_counts / DESeq2 median-of-ratios	0.87	0.913	185.627	196.974	185.627	196.974
MM_RS14940	-0.303896104435631	0.546652927261604	0.578264533366744	0.760941386505165	56.4771147581472	raw_counts / DESeq2 median-of-ratios	0.158	0.123	33.345	25.998	33.345	25.998
MM_RS11710	-0.332399344040359	0.598691711480679	0.578751350852806	0.761163080247008	44.0203509615092	raw_counts / DESeq2 median-of-ratios	0.373	0.273	78.79	58.577	78.79	58.577
MM_RS14935	-0.314673832961978	0.567810239811647	0.579449934715708	0.761662888348135	50.4388055930815	raw_counts / DESeq2 median-of-ratios	0.112	0.084	23.594	17.96	23.594	17.96
MM_RS10195	0.291006772465355	0.525873924796818	0.580004975583447	0.761973569571441	60.5655363839312	raw_counts / DESeq2 median-of-ratios	0.165	0.187	35.336	39.917	35.336	39.917
MM_RS09150	0.232203176445972	0.420717067810262	0.581001516343123	0.762444909756535	337.851759055191	raw_counts / DESeq2 median-of-ratios	0.597	0.685	127.245	144.403	127.245	144.403
MM_RS04295	0.207925007421576	0.376480703952119	0.580752447548519	0.762444909756535	438.568969158216	raw_counts / DESeq2 median-of-ratios	2.899	3.161	617.844	671.541	617.844	671.541
MM_RS00315	0.388281051021146	0.705462734102623	0.582050528874385	0.762891550563374	44.9427225436953	raw_counts / DESeq2 median-of-ratios	0.291	0.385	62.618	80.211	62.618	80.211
MM_RS00825	0.322525562607973	0.5862372803771	0.582208161814245	0.762891550563374	49.4407483702803	raw_counts / DESeq2 median-of-ratios	0.079	0.093	16.687	19.845	16.687	19.845
MM_RS04955	0.273401255249134	0.497066440096875	0.582299071425411	0.762891550563374	73.7151007031188	raw_counts / DESeq2 median-of-ratios	0.113	0.123	23.975	26.524	23.975	26.524
MM_RS01300	0.315584330180926	0.575190662785935	0.583238537711312	0.763285902390667	48.6715100389385	raw_counts / DESeq2 median-of-ratios	0.106	0.117	22.733	25.275	22.733	25.275
MM_RS10465	-0.249976425227395	0.455433667882419	0.5830908278259	0.763285902390667	125.238357409089	raw_counts / DESeq2 median-of-ratios	0.249	0.186	53.008	40.101	53.008	40.101
MM_RS08440	-0.38413560534104	0.704317549074074	0.585477645669699	0.765378376597184	31.9788041408942	raw_counts / DESeq2 median-of-ratios	0.147	0.106	31.692	22.464	31.692	22.464
MM_RS15130	-0.346159187688617	0.634447590780117	0.585335958740498	0.765378376597184	37.7504608837781	raw_counts / DESeq2 median-of-ratios	0.182	0.124	38.821	27.046	38.821	27.046
MM_RS07165	-0.35188853572386	0.646567310046391	0.586275538861628	0.766002630283143	69.8504270811365	raw_counts / DESeq2 median-of-ratios	0.243	0.179	52.456	37.87	52.456	37.87
MM_RS01660	-0.25828365866086	0.475744987051219	0.58719618801258	0.766786502205395	103.3636470561	raw_counts / DESeq2 median-of-ratios	4.103	3.038	873.559	655.76	873.559	655.76
MM_RS06305	-0.269294667999222	0.496552534672203	0.58759211920536	0.766884692696515	95.9266275710394	raw_counts / DESeq2 median-of-ratios	0.247	0.202	52.358	42.542	52.358	42.542
MM_RS10760	-0.307269916118934	0.567122595298587	0.587952775660387	0.76693676301363	49.2304921047643	raw_counts / DESeq2 median-of-ratios	0.136	0.098	28.96	21.114	28.96	21.114
MM_RS00075	-0.234462507574527	0.433326983782802	0.588455714326004	0.767174270966998	414.152978082109	raw_counts / DESeq2 median-of-ratios	18.934	14.729	3996.236	3165.193	3996.236	3165.193
MM_RS03720	0.227831896287024	0.421550198791946	0.588878406789706	0.767306959473672	2137.1142326177	raw_counts / DESeq2 median-of-ratios	1230.329	1395.408	263323.251	294302.346	263323.251	294302.346
MM_RS11970	-0.243198426264243	0.454698121762492	0.592748815961222	0.771509210105216	151.53265890036	raw_counts / DESeq2 median-of-ratios	0.381	0.313	81.301	65.968	81.301	65.968
MM_RS02360	0.223357389273149	0.417308883820465	0.592488909667482	0.771509210105216	319.76850744623	raw_counts / DESeq2 median-of-ratios	1.138	1.301	241.042	274.894	241.042	274.894
MM_RS04485	0.241709857860639	0.453003303345395	0.593637716303612	0.772245799609323	255.229307126239	raw_counts / DESeq2 median-of-ratios	2.692	3.121	575.166	656.701	575.166	656.701
MM_RS07605	-0.325878915093168	0.613935908505094	0.595555421674783	0.772297324024366	38.5884245163214	raw_counts / DESeq2 median-of-ratios	0.301	0.228	63.657	48.571	63.657	48.571
MM_RS09650	0.3096496576193	0.583917427464262	0.595906029236813	0.772297324024366	95.696193605084	raw_counts / DESeq2 median-of-ratios	0.467	0.546	97.923	116.918	97.923	116.918
MM_RS04195	-0.304866482051321	0.57424436868574	0.595487900717781	0.772297324024366	138.347319402656	raw_counts / DESeq2 median-of-ratios	1.289	0.875	271.924	192.134	271.924	192.134
MM_RS12540	-0.255591040501709	0.482019521944197	0.595938336606004	0.772297324024366	273.565210776557	raw_counts / DESeq2 median-of-ratios	0.314	0.244	67.457	51.854	67.457	51.854
MM_RS01445	0.246069367135332	0.462301095490729	0.594538463257836	0.772297324024366	97.742064579517	raw_counts / DESeq2 median-of-ratios	0.25	0.27	53.241	57.794	53.241	57.794
MM_RS13870	0.230847982905615	0.433277484253994	0.594175646076985	0.772297324024366	146.960045271888	raw_counts / DESeq2 median-of-ratios	0.204	0.217	43.358	46.63	43.358	46.63
MM_RS00700	0.201211100757462	0.379147216498084	0.595630939851976	0.772297324024366	3699.10191811568	raw_counts / DESeq2 median-of-ratios	2133.698	2236.417	456322.312	477869.71	456322.312	477869.71
MM_RS15615	0.261842975795249	0.494911693891884	0.596756827250731	0.77252468689604	111.151546744782	raw_counts / DESeq2 median-of-ratios	0.105	0.122	22.525	25.757	22.525	25.757
MM_RS16790	0.22713209947831	0.429308044007836	0.596759973524461	0.77252468689604	274.946790932927	raw_counts / DESeq2 median-of-ratios	0.518	0.595	109.627	125.717	109.627	125.717
MM_RS06550	0.410949494294643	0.779845960104269	0.598219703495483	0.772646128538326	22880.5794199694	raw_counts / DESeq2 median-of-ratios	12425.94	17993.485	2687489.557	3692596.282	2687489.557	3692596.282
MM_RS16665	-0.393247425299555	0.746501763819727	0.598341510961647	0.772646128538326	36.1238961858306	raw_counts / DESeq2 median-of-ratios	0.03	0.019	6.417	4.066	6.417	4.066
MM_RS05820	-0.268543154429282	0.509532261460271	0.598166804393756	0.772646128538326	68.3051250594537	raw_counts / DESeq2 median-of-ratios	0.077	0.059	16.425	12.614	16.425	12.614
MM_RS03230	-0.263132871451376	0.499640684208788	0.598440687611982	0.772646128538326	231.214072739396	raw_counts / DESeq2 median-of-ratios	0.595	0.46	125.116	98.707	125.116	98.707
MM_RS15750	-0.257682349920069	0.489329725392154	0.598469523234203	0.772646128538326	79.3021724666083	raw_counts / DESeq2 median-of-ratios	0.162	0.126	34.541	26.879	34.541	26.879
MM_RS05005	0.397972317909616	0.757511432350524	0.599327346918625	0.773336042354254	36.0450436388852	raw_counts / DESeq2 median-of-ratios	0.376	0.393	80.626	87.024	80.626	87.024
MM_RS08385	0.271739161595968	0.51924865111659	0.600743602487969	0.774745390263611	70.1302081967378	raw_counts / DESeq2 median-of-ratios	0.125	0.133	26.506	28.744	26.506	28.744
MM_RS14155	-0.278282595192115	0.53627421210078	0.603817595157624	0.777870619623857	76.5041737269603	raw_counts / DESeq2 median-of-ratios	0.05	0.041	10.541	8.59	10.541	8.59
MM_RS12960	0.25418463546306	0.489483787737168	0.603557672072406	0.777870619623857	135.06249913186	raw_counts / DESeq2 median-of-ratios	0.207	0.249	44.052	52.143	44.052	52.143
MM_RS03410	-0.279215055851156	0.539206105194343	0.604579527038362	0.778013804708678	181.612598424659	raw_counts / DESeq2 median-of-ratios	0.604	0.406	128.722	89.294	128.722	89.294
MM_RS01220	-0.270438724355698	0.52198725494444	0.604392339462521	0.778013804708678	62.6155444187917	raw_counts / DESeq2 median-of-ratios	0.079	0.062	16.921	13.097	16.921	13.097
MM_RS00310	0.256814542175308	0.49708598574345	0.605407433339132	0.778660125397453	209.347002060287	raw_counts / DESeq2 median-of-ratios	0.317	0.386	67.434	80.657	67.434	80.657
MM_RS07835	-0.225657685482275	0.438538979898627	0.606855633002844	0.779950160604371	194.832019608201	raw_counts / DESeq2 median-of-ratios	0.363	0.295	76.74	62.847	76.74	62.847
MM_RS01430	0.197345856975246	0.383739360260491	0.607062839349533	0.779950160604371	299.12935728241	raw_counts / DESeq2 median-of-ratios	0.333	0.361	70.724	76.694	70.724	76.694
MM_RS14075	-0.294453224593134	0.573542962010786	0.607676096445589	0.780318768314394	49.5687349969616	raw_counts / DESeq2 median-of-ratios	0.069	0.054	14.613	11.438	14.613	11.438
MM_RS02435	0.38032179172806	0.742842406394062	0.608663747804247	0.780329769973166	62.5426842220212	raw_counts / DESeq2 median-of-ratios	0.272	0.295	58.966	64.101	58.966	64.101
MM_RS00165	-0.303415584207377	0.592151070377714	0.60837419198347	0.780329769973166	46.9589556620192	raw_counts / DESeq2 median-of-ratios	0.098	0.074	21.02	15.791	21.02	15.791
MM_RS02265	0.224949436790695	0.438824864564898	0.608218699231377	0.780329769973166	138.009108200432	raw_counts / DESeq2 median-of-ratios	0.144	0.152	30.584	32.681	30.584	32.681
MM_RS16855	0.268972264085633	0.52863161591218	0.610886454796875	0.780667831864954	497.869637053735	raw_counts / DESeq2 median-of-ratios	1.149	1.326	247.501	279.381	247.501	279.381
MM_RS13310	-0.258394635490847	0.50616190268986	0.609702620255207	0.780667831864954	383.245891834736	raw_counts / DESeq2 median-of-ratios	0.883	0.692	189.99	146.493	189.99	146.493
MM_RS12025	-0.242216157972298	0.476016236429701	0.610864296405932	0.780667831864954	264.031859302391	raw_counts / DESeq2 median-of-ratios	0.299	0.243	64.066	51.169	64.066	51.169
MM_RS01450	0.22676504937079	0.444460209164338	0.609909065819306	0.780667831864954	270.081058770875	raw_counts / DESeq2 median-of-ratios	1.772	1.861	379.712	398.833	379.712	398.833
MM_RS05620	-0.216929151298444	0.425242199996565	0.60995981594245	0.780667831864954	356.518027795804	raw_counts / DESeq2 median-of-ratios	0.395	0.307	84.595	65.759	84.595	65.759
MM_RS13240	-0.214791390531451	0.421809320435046	0.610601933143111	0.780667831864954	317.059395221829	raw_counts / DESeq2 median-of-ratios	0.392	0.323	82.887	68.742	82.887	68.742
MM_RS17420	-0.337359057370204	0.664922642244383	0.611898125843519	0.780775230403126	87.7022596240712	raw_counts / DESeq2 median-of-ratios	0.243	0.159	52.421	34.661	52.421	34.661
MM_RS13885	-0.32398073018991	0.638647763303506	0.611950138760125	0.780775230403126	35.65804685071	raw_counts / DESeq2 median-of-ratios	0.102	0.073	21.758	15.711	21.758	15.711
MM_RS06325	-0.201143584580217	0.396302468609917	0.611768491118569	0.780775230403126	315.694425326674	raw_counts / DESeq2 median-of-ratios	0.763	0.617	162.97	131.448	162.97	131.448
MM_RS02090	0.245079181156647	0.48595255514356	0.614031336883671	0.783012760794058	429.281105056355	raw_counts / DESeq2 median-of-ratios	2.714	2.667	579.807	582.692	579.807	582.692
MM_RS10265	0.193159500110893	0.383738858335389	0.614709891497694	0.783460208193489	2130.64451534289	raw_counts / DESeq2 median-of-ratios	1205.315	1341.852	255162.777	284095.441	255162.777	284095.441
MM_RS18585	0.354538030375186	0.705285101030652	0.61518397337752	0.783646713023788	38.4206053797515	raw_counts / DESeq2 median-of-ratios	2.396	2.853	516.991	604.81	516.991	604.81
MM_RS14645	0.307171335299416	0.612045334213317	0.615754206928904	0.783822460033772	422.703243148514	raw_counts / DESeq2 median-of-ratios	1.001	1.196	208.643	255.382	208.643	255.382
MM_RS04225	-0.223282053929019	0.445175818919061	0.615977583606633	0.783822460033772	138.526361136029	raw_counts / DESeq2 median-of-ratios	2.25	1.868	478.017	394.777	478.017	394.777
MM_RS10730	-0.248331002083236	0.498164598217443	0.618137398161616	0.785734459864128	69.502012658962	raw_counts / DESeq2 median-of-ratios	0.199	0.154	42.361	32.986	42.361	32.986
MM_RS07015	-0.22502512201159	0.451219116588534	0.617987389572935	0.785734459864128	364.26788996624	raw_counts / DESeq2 median-of-ratios	0.788	0.606	166.311	130.746	166.311	130.746
MM_RS18600	0.429251240123888	0.865613282978283	0.619970172199902	0.787330175762032	32.333025691745	raw_counts / DESeq2 median-of-ratios	2.288	2.973	474.896	634.75	474.896	634.75
MM_RS02465	0.223985735578448	0.451786714087216	0.620051326206569	0.787330175762032	163.774460195315	raw_counts / DESeq2 median-of-ratios	0.397	0.457	84.246	96.381	84.246	96.381
MM_RS17095	-0.283323350872484	0.574422487768618	0.621848917637982	0.788774940091467	59.7918504804378	raw_counts / DESeq2 median-of-ratios	0.085	0.067	18.254	14.097	18.254	14.097
