gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus
MM_RS11735	-1.63048381392234	0.372047648453761	1.17346894615191e-05	0.000229980676249936	801.28504031952	raw_counts / DESeq2 median-of-ratios	1.078	0.33	229.817	70.084	229.817	70.084
MM_RS06705	-1.97410575417301	0.451115772100427	1.20848592078204e-05	0.000234917872893484	418.256323338173	raw_counts / DESeq2 median-of-ratios	0.967	0.231	203.843	49.342	203.843	49.342
MM_RS15840	-1.84056036296129	0.421066363825788	1.23572164306095e-05	0.00023827503617409	413.265725910234	raw_counts / DESeq2 median-of-ratios	0.96	0.234	204.435	50.621	204.435	50.621
MM_RS10070	-2.06783984823263	0.478236226260434	1.53303192982818e-05	0.000293238347537534	177.426155805116	raw_counts / DESeq2 median-of-ratios	0.904	0.186	192.544	40.437	192.544	40.437
MM_RS10225	-1.9136733972771	0.443630489963892	1.60570068497943e-05	0.000304700820459192	165.378880582185	raw_counts / DESeq2 median-of-ratios	0.316	0.081	67.166	17.152	67.166	17.152
MM_RS03370	2.07938781208401	0.486449921061386	1.91464887008126e-05	0.000360466570737345	233.383945359905	raw_counts / DESeq2 median-of-ratios	0.445	1.649	93.975	357.711	93.975	357.711
MM_RS00685	2.49808640946893	0.588895261549138	2.21548914934282e-05	0.000413846449693648	1271.26120298265	raw_counts / DESeq2 median-of-ratios	0.66	3.333	137.897	723.294	137.897	723.294
MM_RS12775	-1.76921089504611	0.420176541815019	2.54651636189055e-05	0.000471993846610877	360.031448222841	raw_counts / DESeq2 median-of-ratios	3.309	0.896	699.474	192.059	699.474	192.059
MM_RS12730	-2.10893493503743	0.501331656500971	2.59165502371771e-05	0.000476665166285311	88.136000697168	raw_counts / DESeq2 median-of-ratios	0.306	0.068	65.014	14.376	65.014	14.376
MM_RS05575	-1.65897927340859	0.396862262576807	2.91202338093983e-05	0.000531499839986804	470.41743073599	raw_counts / DESeq2 median-of-ratios	1.501	0.445	320.686	94.551	320.686	94.551
MM_RS09975	2.17230380972601	0.524123617908008	3.4034769467343e-05	0.000616493437851645	74.0469018833808	raw_counts / DESeq2 median-of-ratios	0.625	2.725	132.992	575.997	132.992	575.997
MM_RS12790	-1.7850488752129	0.431217445024342	3.47978252793363e-05	0.000625575941675889	271.367423197082	raw_counts / DESeq2 median-of-ratios	3.526	0.985	745.461	209.002	745.461	209.002
MM_RS11025	-2.4222027066082	0.58598728227959	3.57215873079339e-05	0.000637390412337836	99.3753520751487	raw_counts / DESeq2 median-of-ratios	1.015	0.183	218.025	38.425	218.025	38.425
MM_RS07090	1.87278386802256	0.453524145052329	3.63706745571517e-05	0.000639428550486396	1357.52037580825	raw_counts / DESeq2 median-of-ratios	0.464	1.476	98.09	320.72	98.09	320.72
MM_RS09600	-1.76927901749518	0.428297958434458	3.61261413096693e-05	0.000639428550486396	201.818701203988	raw_counts / DESeq2 median-of-ratios	1.151	0.302	244.623	65.11	244.623	65.11
MM_RS01480	3.01276875920576	0.730417749338809	3.71185911187962e-05	0.00064781424354045	35.2353311605849	raw_counts / DESeq2 median-of-ratios	0.037	0.254	7.857	55.448	7.857	55.448
