gene_id	gene_name	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS03205	MM_RS03205	130.002	227	178	163	24	63	42	30
MM_RS03210	MM_RS03210	165	434.021	216	188	77	115	58	96
MM_RS03215	MM_RS03215	16	57.784	26	21	17	32	6	37
MM_RS03220	MM_RS03220	59	60	59	20	21	20	31	34
MM_RS03225	MM_RS03225	365	1192.768	1305	288	38	132	79	120
MM_RS03230	MM_RS03230	803	1450.974	1705	669	141	246	325	228
MM_RS03235	MM_RS03235	328.998	450.422	341	189	112	125	98	72
MM_RS03240	MM_RS03240	124	179	138.002	152	12	10	9	3
MM_RS03245	MM_RS03245	74.895	153.58	112	57	24	30	24	26
MM_RS03260	MM_RS03260	13.53	21	38	10	3	3	19	12
MM_RS03265	MM_RS03265	40.3	76.651	180.057	54	3	8	13	9
MM_RS03270	MM_RS03270	287	342	1504	655	158	202	1127	1874
MM_RS03275	MM_RS03275	766	1051.099	4524	4836	106	232	645	1567
MM_RS03280	MM_RS03280	793	1720.759	8279.867	21970	155	296	726	1452
MM_RS03285	MM_RS03285	2352	6402	4780	4562	90	202	153	362
MM_RS03290	MM_RS03290	407	935	539	390	163	384	129	312
MM_RS03295	MM_RS03295	355	776	736	359	50	83	65	115
MM_RS03300	MM_RS03300	646	1984.998	1453	1769	71	208	187	216
MM_RS03305	MM_RS03305	642.997	1853.663	907	700	89	243.974	139	211
MM_RS03310	MM_RS03310	1031.925	1872.303	1462.012	1349	331	630	545	657
MM_RS03315	MM_RS03315	869	1326.002	1783	1294	154	391	930	644
MM_RS03320	MM_RS03320	352	843.17	804	889	53	104	108	182
MM_RS03325	MM_RS03325	181.546	588.132	562	566	40	112	79	128
MM_RS03330	MM_RS03330	151	367	209	218	66	275	115	252
MM_RS03335	MM_RS03335	19	53	60	72	16	47	58	122
MM_RS03340	MM_RS03340	9.42	6	10	17	1.003	5	4	11
MM_RS03345	MM_RS03345	27	61.001	65	27	13	24	15	64
MM_RS03355	MM_RS03355	305	741	638	215	77	155	91	93
MM_RS03360	MM_RS03360	187	236	219	165	280	350	123	222
MM_RS03365	MM_RS03365	838	1323	723	341	322	402	98	166
MM_RS03370	MM_RS03370	739	1248	366	250	286	373	105	95
MM_RS03375	MM_RS03375	155.712	115.168	626.344	613.685	29.4	65.971	112.135	161.545
MM_RS03380	MM_RS03380	356.142	370.832	1307.656	1349.315	88.6	120.029	249.865	311.455
MM_RS03385	MM_RS03385	449	583.017	409	230	570	680	441	360
MM_RS03390	MM_RS03390	213.503	568.449	418.38	171	36	171	91	220
MM_RS03395	MM_RS03395	121.133	276.22	408	180	34	58	103	117
MM_RS03400	MM_RS03400	72	97	360	160	15	31	100	123
MM_RS03405	MM_RS03405	489	299	729	240	37	55	99	124
