gene_id	log2FC_RNA	lfcSE_RNA	pvalue_RNA	padj_RNA	baseMean_counts_RNA	log2FC_basis_RNA	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	log2FC_Ribo	lfcSE_Ribo	pvalue_Ribo	padj_Ribo	baseMean_counts_Ribo	log2FC_basis_Ribo	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus	log2FC_TE_deseq2	lfcSE_TE_deseq2	stat_TE_deseq2	pvalue_TE_deseq2	padj_TE_deseq2	log2FC_TE_xtail	pvalue_TE_xtail	padj_TE_xtail	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	mode	mode_basis	n_TE_methods_sig
MM_RS19120	0.265524734415846	1.47785015447675	0.857411966925815	NA	10.5507298708899	raw_counts / DESeq2 median-of-ratios	0.973	0.798	212.697	182.229	212.697	182.229	0.194557776551436	1.01828142298116	0.848474794217382	0.922404888538015	7.62647487839043	raw_counts / DESeq2 median-of-ratios	1.376	2.88	82.828	125.245	82.828	125.245	-0.262445157304382	1.68226723758043	-0.156006817134388	0.876027647722061	NA	-0.0689767035238908	0.954793408866511	0.995380135893901	0.231474647632321	0.90100682322691	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS09300	-0.775573149230047	0.61250621565433	0.205431098280111	0.420176010254701	64.2331769715605	raw_counts / DESeq2 median-of-ratios	2.145	1.283	457.262	267.175	457.262	267.175	-0.104246187889393	0.547827723531738	0.849081817273451	0.922531801466656	114.757308572922	raw_counts / DESeq2 median-of-ratios	5.867	10.353	360.352	464.838	360.352	464.838	0.835046165694248	0.765753149843853	1.09049001739598	0.275497348293841	NA	0.660321947253536	0.265633733754031	0.681929401337661	-0.069502969393617	0.920433336534156	0.975134553097312	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS02425	-0.661737582762316	0.784447607229986	0.398908939868972	NA	24.3976475320417	raw_counts / DESeq2 median-of-ratios	0.219	0.115	46.469	25.403	46.469	25.403	0.107870717993124	0.572716433200816	0.850602870191585	0.9238938093213	42.3934578202826	raw_counts / DESeq2 median-of-ratios	0.669	1.177	38.779	51.951	38.779	51.951	0.8790710361851	0.914013284176104	0.961770525006647	0.336164887062913	NA	0.789934067985059	0.267845626356077	0.683617826360088	0.141948407983405	0.851446892810132	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS01080	-0.0455059971118074	0.592563350869934	0.93878650143665	0.971262729968671	42.8138657819414	raw_counts / DESeq2 median-of-ratios	0.045	0.043	9.655	9.008	9.655	9.008	0.110609873693889	0.591276619749447	0.851606072409586	0.923968970031156	53.4208950009927	raw_counts / DESeq2 median-of-ratios	0.124	0.21	7.066	9.241	7.066	9.241	0.214553058379481	0.830144951412986	0.258452524482973	0.796057684427425	NA	0.150123037315995	0.818922706394054	0.964475409045505	0.142825941079857	0.848105497656957	0.940906225959936	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS07845	1.14388393542265	1.51724770578702	0.450897044736681	NA	4.02743940367646	raw_counts / DESeq2 median-of-ratios	0.012	0.024	2.464	5.135	2.464	5.135	0.107845894465947	0.576881644181961	0.851702729380106	0.923968970031156	44.8171151269634	raw_counts / DESeq2 median-of-ratios	0.446	0.755	25.589	34.482	25.589	34.482	-0.990378244718319	1.34812390971929	-0.734634433510299	0.462562161403875	NA	-1.02494988491638	0.27445052354351	0.69106426409958	0.145764194609636	0.910500831440188	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS15800	-1.51531733821365	1.16800931098696	0.194510652872589	NA	19.5445032786815	raw_counts / DESeq2 median-of-ratios	0.204	0.081	43.394	16.409	43.394	16.409	-0.140456118891966	0.748893916270974	0.851228310003923	0.923968970031156	74.6267751901828	raw_counts / DESeq2 median-of-ratios	1.427	1.781	78.333	78.527	78.333	78.527	2.41283285691421	1.37420535378451	1.75580225347642	0.079122179489027	NA	1.27593704703372	0.234226386950079	0.659391276665323	-0.102011380241836	0.917948971590139	0.974643101405963	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS16840	0.137086927943785	1.02462533239007	0.89356685622837	NA	14.327309077806	raw_counts / DESeq2 median-of-ratios	0.021	0.022	4.577	4.661	4.577	4.661	0.0991030869782596	0.530257648224106	0.85174209628813	0.923968970031156	54.7203157656077	raw_counts / DESeq2 median-of-ratios	0.166	0.298	9.773	13.599	9.773	13.599	-0.274370902490823	1.08641330146905	-0.252547444071072	0.800617947145393	NA	-0.0476537265813759	0.937742071259351	0.991435133881165	0.129713880858193	0.911816401628656	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS01795	-1.21903456444755	0.978838176752356	0.212988694774782	NA	12.3230969866991	raw_counts / DESeq2 median-of-ratios	0.035	0.013	7.426	2.808	7.426	2.808	-0.112571314976192	0.606327252537494	0.852710625708072	0.924729199747466	45.2843858720324	raw_counts / DESeq2 median-of-ratios	0.211	0.321	12.158	13.866	12.158	13.866	1.07496406404341	1.07940808685606	0.995882907616898	0.319307041017613	NA	1.14584522913175	0.169911033375891	0.577746499596283	-0.072324165319515	0.93744286968326	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS16580	-0.639597730003423	0.574754996789306	0.265786585171025	0.490730289686425	49.9092583489658	raw_counts / DESeq2 median-of-ratios	0.155	0.094	32.681	20.067	32.681	20.067	0.102907625112099	0.558676860773291	0.853857475884293	0.925682272976883	203.398563658098	raw_counts / DESeq2 median-of-ratios	1.185	1.981	67.408	85.339	67.408	85.339	0.692884154201854	0.695128101776568	0.996771893455351	0.31887524391492	NA	0.736798798816928	0.210121657833443	0.633139093811714	0.141677650084542	0.852901070268208	0.94257418859861	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS19340	-0.715477975198318	0.768061085007704	0.35157541273596	NA	26.4365966587867	raw_counts / DESeq2 median-of-ratios	0.099	0.06	20.858	12.662	20.858	12.662	-0.13451159942848	0.738644674222504	0.855499569487792	0.926880650254339	31.6366478932997	raw_counts / DESeq2 median-of-ratios	0.227	0.323	13.205	15.665	13.205	15.665	0.369193869033122	0.981529358050984	0.376141442948001	0.706811745746396	NA	0.567410869621514	0.488796869659776	0.827192334269652	-0.10159005860981	0.922007308415901	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS13845	-1.25351737290436	0.863154567955589	0.146431733760024	NA	17.3066953685846	raw_counts / DESeq2 median-of-ratios	0.041	0.015	8.59	3.311	8.59	3.311	0.1357927163208	0.762396588426488	0.858634260805856	0.929323411687596	30.0062799346739	raw_counts / DESeq2 median-of-ratios	0.124	0.197	6.868	8.701	6.868	8.701	1.60318692276373	1.06589479057494	1.50407614047816	0.13256176293788	NA	1.39837752509042	0.103228371696118	0.471253989405284	0.171384651915174	0.866500221347381	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS17555	-0.0340846107340807	0.997679535799788	0.972746463870332	NA	10.7759012983166	raw_counts / DESeq2 median-of-ratios	0.023	0.02	4.916	4.248	4.916	4.248	0.0868669059487029	0.489141937618205	0.85904467468062	0.929323411687596	84.9094416814595	raw_counts / DESeq2 median-of-ratios	0.38	0.658	22.071	29.476	22.071	29.476	0.123441044349481	0.980802101840202	0.125857238802688	0.899844931932536	NA	0.14225014233021	0.868541921039355	0.978268709711405	0.124480702391371	0.885971178655387	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS03050	0.375837567871817	0.848550402359662	0.657825626304995	NA	18.550607817674	raw_counts / DESeq2 median-of-ratios	0.031	0.037	6.611	7.823	6.611	7.823	-0.104177764838545	0.592102920342605	0.860336864585653	0.929788338635434	71.4714297075398	raw_counts / DESeq2 median-of-ratios	0.331	0.458	18.603	20.724	18.603	20.724	-0.468712380208384	1.04411128364474	-0.448910367649915	0.65349631675848	NA	-0.472571379933518	0.49655052964181	0.829517259494079	-0.0625304303456925	0.951255046399626	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS01205	-0.708431263946993	0.990033225377634	0.474261152680919	NA	12.1969670754118	raw_counts / DESeq2 median-of-ratios	0.013	0.008	2.809	1.707	2.809	1.707	-0.116634583988526	0.669705638900595	0.861741304711064	0.930045223969369	28.047484640887	raw_counts / DESeq2 median-of-ratios	0.058	0.084	3.297	3.706	3.297	3.706	0.726339990871284	1.21295464718764	0.598818754316478	0.549293754607753	NA	0.595855444619504	0.483376915417711	0.826477986175518	-0.0803127408613516	0.932167889197159	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS08035	0.711895110088334	0.587540797406698	0.225645537048723	0.445883040564873	42.5941547593732	raw_counts / DESeq2 median-of-ratios	0.333	0.491	70.663	105.662	70.663	105.662	0.0832381461717997	0.476176400588617	0.86123264410514	0.930045223969369	113.128409120833	raw_counts / DESeq2 median-of-ratios	2.537	4.375	146.892	194.837	146.892	194.837	-0.615140145074423	0.700586178959416	-0.878036369470054	0.379923982007834	NA	-0.62479210890021	0.243542834338552	0.671351347558202	0.119279198153069	0.859345760409328	0.944063525761518	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS10615	1.3268384276005	1.07553634820207	0.217332309041948	NA	9.93861669861065	raw_counts / DESeq2 median-of-ratios	0.021	0.049	4.459	10.319	4.459	10.319	0.108643718922662	0.624818060601131	0.86195932491548	0.930045223969369	33.2772915652229	raw_counts / DESeq2 median-of-ratios	0.227	0.438	13.702	19.917	13.702	19.917	-1.33951934563079	1.16454997725988	-1.15024633702935	0.250042426187729	NA	-1.21620533470882	0.130631285208803	0.520079218462309	0.131931777010875	0.914069859610896	NA	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS11870	0.238758558408483	0.509832773109203	0.639564639850774	0.798954573606688	68.5344915442712	raw_counts / DESeq2 median-of-ratios	0.094	0.103	20.153	21.984	20.153	21.984	0.0904811599835812	0.521244288315705	0.862190158410515	0.930045223969369	164.662486278868	raw_counts / DESeq2 median-of-ratios	0.563	0.907	31.924	41.194	31.924	41.194	-0.09719460403949	0.711913977122534	-0.136525770195352	0.891405653610565	NA	-0.147546374719551	0.790823380513285	0.957469358100477	0.127146053222241	0.854960430801777	0.94257418859861	Unchanged	TE from deseq2, alpha = 0.05	0
MM_RS13445	0.232806826279787	0.488520753221313	0.633679298048908	0.79534236306296	93.6655505187144	raw_counts / DESeq2 median-of-ratios	0.088	0.101	18.682	21.355	18.682	21.355	0.0866559481251703	0.506677771505724	0.86420196295429	0.931144661985981	386.907335529925	raw_counts / DESeq2 median-of-ratios	0.731	1.468	44.695	65.227	44.695	65.227	-0.0730827824231231	0.668912779291343	-0.109256071472499	0.912999387836269	NA	-0.150463664290896	0.776752028055947	0.952318061033424	0.120225042596357	0.853841435737112	0.94257418859861	Unchanged	TE from deseq2, alpha = 0.05	0
