gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS06485	33.6692	21.1968	22.8625	3.0546	2.1859	2.8608	1.1935	0.8072
MM_RS06490	47.0482	25.7115	33.3199	4.2659	3.3039	4.8938	1.6891	1.0166
MM_RS06495	37.2449	12.2107	18.3194	2.5451	2.1717	1.6793	0.9278	0.4423
MM_RS06500	25.9112	11.1261	16.6477	1.084	1.0819	1.035	0.3474	0.2982
MM_RS06505	0.2784	0.3183	0.1154	0.0558	0.0135	0.0338	0.0186	0.0283
MM_RS06520	10.3705	11.1303	6.7139	2.9326	0.506	1.3055	1.0007	0.9067
MM_RS06525	1.9605	1.4768	1.6309	0.6661	0.0717	0.0881	0.033	0.0764
MM_RS06530	1.5044	1.1146	0.7174	0.2005	0.056	0.1126	0.046	0.1054
MM_RS06535	5.8475	5.5025	2.4012	2.1275	0.089	0.1108	0.1076	0.0713
MM_RS06540	10.5223	14.0846	1.8065	1.4509	0.5441	0.817	0.2	0.2278
MM_RS06545	7743.3954	35333.9033	4464.9717	15974.6622	3385.3024	33126.7752	5263.0455	19745.9152
MM_RS06550	7708.9283	35318.0193	4471.6946	15923.6133	3108.9302	32878.0402	5261.7506	19590.1291
MM_RS06555	6.4405	4.3961	4.5515	3.8375	0.1593	0.3117	0.1918	0.2486
MM_RS06560	0.7054	1.0366	0.6153	0.4883	0.0966	0.0732	0.037	0.0306
MM_RS06565	1.3815	1.5259	1.1012	0.4434	0.0383	0.0871	0.0352	0.0524
MM_RS06570	2.335	4.6339	5.6649	1.1459	0.0986	0.2081	0.2514	0.215
MM_RS06575	16.9627	25.8283	65.6216	7.39	1.2727	2.0864	3.0473	0.8404
MM_RS06580	14.8495	21.3841	36.0668	4.7527	0.4778	0.761	2.2134	0.3305
MM_RS06585	8.0312	10.3082	14.5423	1.6386	0.7447	1.0654	2.7379	0.6683
MM_RS06590	5.2065	3.8439	7.5004	1.2441	0.4456	0.4624	2.2176	0.4384
MM_RS06595	3.5112	2.5576	5.0426	0.8568	0.2419	0.2512	1.522	0.3253
MM_RS06600	11.3556	9.5171	7.8606	5.023	0.5925	1.0308	1.2237	0.8831
MM_RS06605	11.2551	9.831	6.2954	7.4065	0.6245	1.0878	0.803	0.929
MM_RS06610	3.9104	1.9112	22.4472	2.8354	0.1451	0.2014	0.5835	0.417
MM_RS06615	3.3782	3.4685	10.8542	4.9499	0.097	0.3231	0.3969	0.3858
MM_RS06620	0.6224	1.1094	0.6072	0.1924	0.0443	0.0696	0.0222	0.0612
MM_RS06625	5996.6354	5442.626	2427.3423	2028.0814	276.7376	883.7109	255.4566	710.3389
MM_RS06630	7262.8723	4862.7804	2601.2668	2235.4257	612.4621	1314.3067	545.2014	970.8106
MM_RS06635	11.8835	8.1254	2.0741	1.3816	0.394	0.9464	0.1726	0.4359
MM_RS06640	6.0313	4.8853	1.9722	1.4388	0.1548	0.2973	0.1422	0.1832
MM_RS06645	3.8719	2.995	0.8498	0.4207	0.0645	0.1228	0.0485	0.0759
MM_RS06650	393.3972	390.2434	1038.3202	423.9435	1119.3991	1536.942	2763.3324	987.5909
MM_RS06655	1.937	7.5888	38.0649	0.6915	0.0831	0.2683	3.1862	0.092
MM_RS06660	276.9159	162.367	734.3452	47.7177	25.6875	11.2976	115.882	30.9343
MM_RS06665	7.5975	7.4262	16.915	6.5519	0.0578	0.1932	0.168	0.2609
MM_RS06675	1.5405	1.4577	4.6569	1.2485	0.0996	0.313	0.2829	0.8727
MM_RS06680	1.9606	2.6836	3.4498	1.1612	0.0383	0.0662	0.0281	0.0699
MM_RS06685	0.8807	0.7165	1.4995	0.5701	0.012	0.0366	0.031	0.0373
MM_RS06690	5.2228	6.2697	2.698	0.9706	0.1426	0.3765	0.2229	0.1303
MM_RS06695	4.855	7.6602	5.5001	1.09	0.0872	0.3173	0.4647	0.146
MM_RS06700	2.4856	1.8754	9.8453	7.4885	0.0873	0.0963	0.669	0.4622
MM_RS06705	1.9404	1.5538	6.243	4.91	0.1681	0.2931	1.1566	0.7782
MM_RS06710	2.9887	2.5134	5.5882	1.0657	0.1236	0.2388	0.1658	0.1415
MM_RS06715	10.3094	6.9614	8.4099	1.6586	0.9019	1.32	0.7435	0.9271
MM_RS06720	117.1975	58.928	91.603	82.9668	48.1825	73.7338	33.6871	213.2611
MM_RS06725	8.1983	4.7039	7.5933	6.5713	0.613	0.9736	1.1916	1.011
MM_RS06735	2.6783	1.8721	1.744	0.6752	0.1181	0.1774	0.1256	0.1246
MM_RS06740	2.5414	2.3016	2.0006	0.9523	0.1098	0.1602	0.1104	0.1813
MM_RS06745	31.281	21.0348	14.8269	5.3472	0.9494	1.4243	1.2633	0.8738
MM_RS06750	9.9059	12.0385	9.714	5.7231	0.3275	0.6303	0.252	0.3547
MM_RS06755	3.179	1.7796	1.2948	0.6066	0.0565	0.142	0	0.0389
MM_RS06760	6.4334	10.8197	5.34	2.8	0.2092	0.3455	0.2564	0.3892
MM_RS06765	6.368	5.1585	2.8195	1.0576	0.289	0.3719	0.1529	0.1978
MM_RS06770	7.7156	5.821	5.9898	1.8044	0.263	0.4545	0.4489	0.2826
MM_RS06775	5.2735	4.5431	10.7182	2.0248	0.2516	0.4235	0.6639	0.3768
MM_RS06780	35.4794	28.1648	10.7073	3.584	1.7118	3.0389	1.1648	0.912
MM_RS06785	14.0508	13.8242	6.7924	8.473	0.2874	0.6886	0.3127	0.4688
MM_RS06790	2.5027	2.3738	0.5943	0.4074	0.1514	0.2705	0.0984	0.1138
MM_RS06795	0.8058	0.6206	2.0891	0.6538	0	0.0929	0.1277	0.0887
MM_RS06800	2.7762	3.4249	4.0489	2.3505	0.2148	0.3719	0.2894	0.2666
MM_RS06805	5.3944	5.255	6.5192	2.1004	0.3619	0.7873	0.6964	0.8091
MM_RS06810	8.4651	4.5883	7.1766	1.8644	0.3018	0.4586	0.5408	0.6063
