gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS16165	33.3868	51.0034	38.1311	16.7735	6.852	13.8796	3.9403	8.3823
MM_RS16170	259.4362	372.8789	415.5345	171.5282	381.4506	401.8404	537.4294	465.5653
MM_RS16175	663.8747	782.4178	674.091	258.7329	256.0349	353.164	351.2649	250.2023
MM_RS16180	153.6775	161.0753	74.547	107.4204	15.8344	38.5544	17.6156	17.8741
MM_RS16185	26.2044	42.4491	55.9448	46.0076	8.1097	11.0956	26.1162	18.2754
MM_RS16190	39.1653	35.5237	28.6258	12.4865	19.2006	29.6572	17.2769	20.4185
MM_RS16195	1692.0164	1015.8852	804.4608	202.4975	175.5344	384.7694	92.166	217.8513
MM_RS16200	32.7073	45.3144	53.6663	31.2931	10.0815	12.218	12.9032	14.5732
MM_RS16205	86.8615	111.3286	96.7037	52.2865	116.4187	223.539	480.3542	659.4349
MM_RS16210	32.2286	38.8957	30.4284	20.343	4.9322	8.3684	4.2763	2.9782
MM_RS16215	187.2919	211.2689	30.0891	33.6526	9.5498	23.5088	0	6.8149
MM_RS16220	695.5585	653.16	2339.4571	421.1411	243.0822	418.9581	161.5538	344.6071
MM_RS16225	420.0267	211.19	291.4407	86.0579	121.6352	102.0193	30.8994	38.4846
MM_RS16230	87.9217	113.2011	30.6208	23.7103	9.0737	19.9903	1.9923	8.8297
MM_RS16235	65.8105	180.491	87.1322	23.9324	20.7065	68.2117	30.3103	41.643
MM_RS16240	44.7893	53.3684	175.3337	54.1843	5.7904	9.1227	11.3215	10.6255
MM_RS16245	50.0837	42.4926	38.1833	27.5574	7.5121	9.1455	11.5461	10.7216
MM_RS16250	135.2475	186.3249	113.8119	47.0941	10.8762	46.4081	10.9454	10.9953
MM_RS16255	38.5891	44.2286	28.7009	12.218	17.3668	30.2631	23.3031	29.6687
MM_RS16260	8.517	2.0682	4.9717	0.6228	0	1.5736	2.4125	2.1433
MM_RS16265	203.0812	173.3549	153.125	47.9304	65.8993	84.6983	39.0931	70.1278
MM_RS16270	239.9677	107.6466	364.4888	289.14	27.5303	33.7351	91.1203	157.1688
MM_RS16275	26.2244	36.4303	33.1905	18.097	9.9208	9.3781	9.5846	4.2478
MM_RS16280	84.5104	172.2345	373.4608	105.5107	3.6707	28.9158	17.7315	39.2922
MM_RS16285	28.6263	84.7063	113.1085	23.8592	5.5337	22.6677	15.4445	22.6407
MM_RS16290	61.8377	89.8101	64.751	26.3394	32.136	51.0664	41.9311	59.309
MM_RS16295	14.4116	105.5926	52.2831	18.1009	7.3942	26.6275	16.1582	15.0761
MM_RS16300	32.8651	51.5314	85.795	27.3922	9.1768	35.4219	16.2539	24.8851
MM_RS16305	121.1124	115.0936	87.8893	58.3042	19.7769	21.2443	22.1945	30.3646
MM_RS16310	22.3799	31.2557	68.2162	71.1099	18.1851	21.2226	21.6899	38.9317
MM_RS16315	49.5128	51.6074	125.2067	61.7918	9.4964	10.3579	36.4628	37.0116
MM_RS16320	104.7275	176.1436	18.198	5.1045	14.7752	48.0112	15.6127	15.8157
MM_RS16325	94.9101	94.2096	40.6997	17.1848	5.9205	14.9243	7.6265	11.8299
MM_RS16330	2159.7093	3323.7234	1242.2812	822.5467	513.8987	567.1949	186.4082	274.0379
MM_RS16335	130.1356	96.7013	46.0965	21.7284	60.1186	62.8407	42.8163	27.2261
MM_RS16340	67.8631	64.0957	47.1925	55.3052	18.3535	31.7311	28.2449	25.0357
MM_RS16350	220.4116	535.5854	122.5021	105.5424	171.8405	70.1901	87.1076	131.712
MM_RS16355	108.2616	117.0556	90.0502	92.1429	23.7516	57.4914	31.6386	30.8174
MM_RS16360	2.8455	1.7019	1.5293	5.5338	10.011	10.5148	10.7464	4.7627
MM_RS16365	31.5218	83.973	28.1179	39.3772	58.65	73.922	0	46.3906
MM_RS16370	27.0706	32.9946	17.1931	17.3292	1.9842	7.9714	3.1949	5.2421
MM_RS16375	73.4509	80.6428	74.0932	39.0648	12.908	22.37	18.9656	10.8233
MM_RS16380	116.8139	144.3947	101.7403	39.9985	29.5061	48.1469	17.5336	19.0508
MM_RS16385	688.1742	683.261	434.4495	229.0328	104.5899	181.8132	77.7272	106.2145
MM_RS16390	0	60.6339	9.0808	5.4764	9.9072	15.6087	0	28.2798
MM_RS16395	41.7748	63.7938	30.2943	14.6313	8.4901	31.8664	4.0208	17.4632
MM_RS16405	24.077	13.4408	12.0777	1.0405	7.5297	8.8972	7.5776	12.0899
MM_RS16410	11.771	19.2012	6.3264	6.2432	5.0198	11.8629	3.031	17.0154
MM_RS16415	83.7808	61.9346	40.4753	29.2916	64.0303	135.6652	42.6623	116.5964
MM_RS16420	2117.6776	1762.997	844.0118	919.4507	983.7489	968.2668	697.4396	660.1089
MM_RS16425	22.5208	25.9786	38.5858	9.8978	4.4765	8.1105	7.2079	4.1528
MM_RS16430	3.1432	5.7128	3.8848	1.6734	0.3027	2.6233	0.4875	2.3764
MM_RS16440	0	12.0739	9.6021	39.8127	0	0	0	8.7388
MM_RS16450	60.575	101.4467	36.8975	7.8536	14.2078	44.7685	0	3.3796
MM_RS16455	30.4712	56.5054	22.1497	10.1453	12.2357	18.7953	16.7464	17.4632
MM_RS16465	57.5246	103.0331	100.026	35.0971	23.81	15.6302	41.5333	22.655
MM_RS16470	794.5419	1072.3856	758.3092	793.9319	325.6574	702.8768	184.8927	437.9233
MM_RS16475	97.1216	93.6103	108.3307	28.9933	170.3768	88.3326	0	290.6148
MM_RS16485	165.6909	220.9242	116.541	82.5436	112.989	367.1694	98.0892	181.9145
MM_RS16490	16.2165	17.2591	14.0989	9.7395	3.9154	6.8296	9.0065	7.584
MM_RS16495	10.6102	15.2282	13.6861	4.1269	18.0424	29.4059	33.0588	49.7257
MM_RS16500	100.6514	132.1493	129.3028	33.4197	43.1848	104.3237	62.5818	86.2887
MM_RS16505	237.97	335.5014	496.3709	124.8817	73.0918	130.8586	26.748	85.3521
MM_RS16510	193.0807	266.4812	166.71	130.1518	31.7466	46.8905	37.2735	18.8791
MM_RS16515	19.3167	19.6895	13.0735	6.0292	14.2633	29.742	14.8607	32.3319
MM_RS16520	180.2208	241.1082	80.869	72.7911	75.0602	114.6259	57.2497	70.9491
MM_RS16525	7169.2266	13433.5493	380.8378	211.3629	800.6769	1903.2469	151.2095	235.0019
MM_RS16530	167.5795	224.6316	579.6929	171.9434	28.278	61.6871	58.6672	38.8071
MM_RS16535	57.4247	77.0061	220.5267	158.33	20.5213	36.2017	36.068	34.8576
MM_RS16540	204.8653	149.7631	687.1483	255.7733	40.0424	73.6009	207.7548	146.0499
MM_RS16545	91.6497	91.3076	322.8541	182.7491	20.4198	32.5542	51.668	64.8798
MM_RS16550	60.2504	66.9075	344.5299	291.9581	9.8565	19.2772	29.2789	51.9045
MM_RS16560	153.5223	311.3378	158.2808	113.0669	24.5431	61.7238	24.9593	43.0179
MM_RS16565	5.6456	7.1508	5.7116	4.7363	5.063	9.5108	7.2118	3.891
MM_RS16570	262.2722	287.7828	97.2187	160.6727	68.2922	128.1058	34.707	45.0794
MM_RS16575	2103.2046	1274.24	2952.2301	1826.9465	141.3663	418.3619	175.3752	88.7299
MM_RS16580	102.1936	68.4842	99.7851	35.0315	14.4318	25.7029	35.362	30.0009
MM_RS16585	86.3278	194.1645	241.7564	123.7068	17.7615	48.0376	50.5253	42.2497
MM_RS16590	41.7335	55.3495	113.1256	63.5182	12.7677	40.2307	35.977	56.1859
MM_RS16595	42.6501	63.5836	39.9948	27.5655	12.467	29.4625	60.2225	26.69
MM_RS16600	38.4434	101.2851	119.974	34.7838	14.5215	25.4205	31.1763	26.4838
MM_RS16605	98.9202	127.8642	490.3934	251.7174	53.6754	71.744	167.5572	191.2715
MM_RS16610	217.5218	500.8062	1243.5387	363.6981	60.9476	210.5944	364.667	525.8729
