gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS03895	18.4879	29.7039	46.6949	33.9705	5.2854	12.4049	12.0053	29.8033
MM_RS03900	224.2342	129.9143	10.0935	5.1132	34.7983	51.7015	8.1565	10.6875
MM_RS03905	95.9568	92.742	1646.2531	1229.5871	13.655	18.7374	191.1457	111.2755
MM_RS03910	146.8602	169.6136	42.9985	35.549	24.6671	37.1279	19.8593	14.4595
MM_RS03915	13.557	11.0051	9.4879	3.4088	11.4526	11.7977	8.1565	14.7739
MM_RS03920	72.7736	116.5425	183.476	142.9701	21.1433	45.8027	110.29	50.9227
MM_RS03925	22.0767	37.1123	33.7124	25.3226	6.1668	11.7977	26.5973	21.0606
MM_RS03930	76.2471	161.9754	15.1403	11.9308	19.8218	36.0869	1.4185	12.8878
MM_RS03935	255.0335	418.3053	382.1412	13.1483	60.7869	125.9573	51.0668	8.8015
MM_RS03940	205.8297	421.0002	511.9441	13.8787	12.7741	74.2558	13.1213	4.0864
MM_RS03945	124.3241	150.7427	307.6509	9.9829	28.191	69.051	18.7954	5.6581
MM_RS03950	121.5075	101.2777	559.1818	22.8877	22.0242	21.1664	25.1788	5.9724
MM_RS03955	306.4909	317.4281	481.4604	247.6239	62.5488	94.7282	85.1113	69.7829
MM_RS03965	27.055	28.9716	23.0145	22.8894	6.1668	6.5928	3.5463	3.1434
MM_RS03970	61.5987	252.7355	474.1943	245.4342	7.9287	34.005	66.3159	39.6065
MM_RS03975	105.1681	129.0254	183.5005	74.2633	56.382	62.1112	80.5011	63.1819
MM_RS03980	78.4906	97.0506	73.8847	65.7413	3.5239	3.4699	3.9009	1.886
MM_RS03985	160.0055	420.1025	94.6774	177.258	18.0599	53.0894	21.9871	30.8051
MM_RS03990	84.886	90.7601	111.4326	115.8995	88.9779	128.7332	252.1421	247.3837
MM_RS03995	354.5679	551.7496	487.114	476.7462	656.0062	1043.3984	602.5169	791.8164
MM_RS04000	18.0289	31.4515	33.7124	20.6963	4.8453	12.4916	21.6324	27.3474
MM_RS04005	9.7656	8.0875	4.643	2.6783	11.8931	20.8194	9.575	14.4595
MM_RS04010	795.8998	699.7978	552.5201	315.0713	254.1596	232.8302	178.7337	110.0182
MM_RS04015	315.1297	449.5321	341.9684	140.7351	72.68	109.9958	91.8492	62.8675
MM_RS04020	21.0337	18.197	24.6282	8.522	42.2865	31.9231	47.5205	29.2334
MM_RS04025	60.4719	82.4479	117.6906	46.7494	83.2516	51.7015	53.1945	123.849
MM_RS04030	107.996	0	67.3531	37.0961	281.0093	446.2383	228.8146	372.5397
MM_RS04035	56.5513	97.0697	220.5809	136.4186	9.7594	21.2615	30.7652	50.9161
MM_RS04040	2.6292	1.7972	2.2206	1.7044	0.4405	0.347	1.0639	0
MM_RS04045	465.5646	1157.3092	938.2795	600.0572	171.648	232.1119	255.8264	229.402
MM_RS04050	165.1456	334.5968	157.6649	147.3828	44.4889	69.747	41.1371	50.8611
MM_RS04055	126.2021	163.8007	87.2081	40.6622	210.5516	202.2951	60.9964	320.31
MM_RS04060	131.8504	97.949	64.1949	63.063	52.8582	55.1714	52.4853	51.5514
MM_RS04070	111.5537	92.108	344.997	747.503	91.1803	272.04	222.7078	720.7761
MM_RS04075	618.9915	484.3932	1194.2671	3323.1012	174.4319	497.5834	284.7681	1165.5637
MM_RS04080	968.6765	809.8768	1565.911	2963.2284	199.5395	559.3476	251.0783	1185.367
MM_RS04085	252.7799	239.9302	435.2332	585.8281	59.0249	203.683	78.7279	391.3503
MM_RS04090	370.8101	265.99	456.2272	588.7499	148.8838	370.5851	215.9699	823.8788
MM_RS04095	398.1332	530.6321	489.5364	640.3486	112.7641	201.9481	117.7373	274.4167
MM_RS04100	486.0285	844.4734	1123.2086	3373.5029	37.4412	95.4222	79.0826	215.9499
MM_RS04105	2474.839	2332.5798	1817.0382	2235.9348	775.2529	1413.2895	816.0043	1594.6345
MM_RS04110	359.4507	595.1001	232.1513	282.6876	121.1333	277.2449	325.9052	462.0762
MM_RS04115	2.3024	1.3715	1.2688	0.487	0.4546	1.5132	0	0.977
MM_RS04120	154.3723	144.4524	151.403	95.2031	11.8931	18.7374	12.0574	12.8878
MM_RS04130	330.905	418.5299	183.5005	104.9426	56.8225	179.7407	63.8335	44.0073
MM_RS04135	60.0963	78.1795	22.2058	14.6092	22.4647	71.4799	12.4121	21.6893
MM_RS04140	1318.3616	1133.6394	824.2381	850.253	1361.0974	1871.3861	723.1788	1781.1222
MM_RS04145	48.1724	246.8253	39.9991	235.7189	56.5084	144.4248	38.8036	162.2026
MM_RS04150	180.2061	128.6565	21.3983	15.3396	55.9415	87.4414	17.0223	18.2316
MM_RS04155	15.3783	16.1751	15.544	12.4178	23.3457	16.3085	15.2491	11.3162
MM_RS04160	45.4504	34.9692	18.9758	12.6613	23.3457	28.8002	15.2491	20.7463
MM_RS04170	55.9646	72.7878	37.548	13.6352	3.9644	4.1639	0	2.2004
MM_RS04175	157.0015	151.6413	82.9689	32.3837	11.8931	12.4899	7.4472	10.0588
MM_RS04180	700.1214	705.4957	1593.6042	717.2739	1267.7146	3340.4709	913.5277	2585.7428
MM_RS04185	105.1685	130.0884	231.5457	251.2779	71.3585	94.0342	101.7789	85.4998
MM_RS04190	573.1681	604.3186	100.3297	36.7664	45.8104	82.5836	13.8306	22.9466
MM_RS04195	99.8124	121.9836	180.4724	70.611	46.6914	34.005	64.5427	49.6653
