gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
MM_RS02940	3.6364	3.8968	4.606	4.9144	3.0819	4.623	4.7768	4.5932
MM_RS02945	5.4515	5.3133	6.219	5.4741	5.4235	5.6846	7.0398	6.7816
MM_RS02950	4.2859	4.0716	5.5359	4.6372	5.0682	4.8634	5.7665	5.4342
MM_RS02955	5.6214	6.0215	7.5221	6.4726	4.9272	5.0694	6.0861	5.2908
MM_RS02960	4.5499	4.5439	7.2544	5.084	4.5954	3.6659	5.485	4.8874
MM_RS02965	5.892	5.7417	7.1033	6.645	5.0682	4.623	5.1349	4.5091
MM_RS02970	7.2511	7.2622	6.5347	8.3266	6.9547	6.3163	6.0018	5.9297
MM_RS02975	7.3649	7.5739	4.9096	6.1602	6.5844	6.7933	5.485	5.1866
MM_RS02980	0.262	2.1237	2.3662	2.111	3.5401	3.2755	3.5752	4.1128
MM_RS02990	5.551	6.56	7.6228	5.7203	6.5844	6.8502	6.7862	6.5703
MM_RS02995	4.3427	5.5075	6.3657	3.3962	4.1631	4.8634	3.3172	2.6452
MM_RS03000	5.892	5.3408	5.2055	4.8405	5.0682	5.2495	4.5575	4.1128
MM_RS03005	2.9407	2.6714	2.9109	2.111	3.8854	3.0302	5.2121	3.1781
MM_RS03010	6.3305	6.5542	6.8983	6.9469	4.1631	5.132	5.6604	4.2227
MM_RS03015	3.4405	2.3711	5.5593	3.4968	0.262	2.7316	3.9823	3.1781
MM_RS03020	2.1426	3.6091	6.2264	2.5638	2.3905	3.4842	5.485	2.2706
MM_RS03030	4.7728	7.1581	10.8826	6.7495	5.1966	6.6512	7.8083	4.8193
MM_RS03035	4.1004	3.8204	4.1291	3.0419	8.1132	7.45	6.4144	6.9015
MM_RS03040	3.8872	5.1979	8.6635	4.7626	3.8854	4.2231	5.7665	4.1128
MM_RS03045	4.0328	4.0043	6.6591	4.7626	0.262	3.4842	4.2986	2.9374
MM_RS03050	5.2587	5.3941	5.8045	4.7626	5.3145	5.5072	4.2986	5.479
MM_RS03055	7.3785	6.3466	4.3873	4.6372	6.2119	5.4592	5.0534	4.5932
MM_RS03060	7.6661	8.2636	7.9136	8.3062	7.59	8.0768	8.971	7.2243
MM_RS03065	7.5626	7.6608	6.9699	7.3102	8.2818	9.0422	7.9387	7.9036
MM_RS03070	6.0191	6.1666	5.1448	5.3197	7.7657	7.634	6.7862	6.7454
MM_RS03075	11.0443	10.7496	10.7673	11.2155	10.4054	10.1639	10.2765	9.8635
MM_RS03080	10.077	9.748	10.5442	9.9223	10.8006	10.2368	10.6113	10.0842
MM_RS03085	8.9519	8.9659	9.3994	10.1175	8.5574	8.5979	9.1432	8.8798
MM_RS03090	9.0098	8.7552	8.1954	9.2624	9.2689	9.5569	8.9374	9.1353
MM_RS03095	6.3022	6.6116	7.3549	7.0569	6.9905	7.0415	7.7832	7.2885
MM_RS03100	10.9154	11.0584	10.6554	11.2879	14.5812	14.8641	14.3374	15.0018
MM_RS03105	7.5804	8.5546	10.0787	10.3312	6.7608	7.1207	7.6372	7.8787
MM_RS03110	9.2527	9.3435	10.7172	11.6398	8.5211	8.5923	8.8795	9.4026
MM_RS03115	6.2734	6.5542	7.6503	7.671	7.6584	9.0784	9.4281	10.0586
MM_RS03120	7.8433	7.7011	9.162	9.2428	6.3834	7.0415	7.2186	8.3931
MM_RS03125	5.2879	5.6013	6.6699	7.3305	5.0682	5.8794	5.1349	6.4176
MM_RS03130	6.087	6.8258	7.4456	7.9852	7.1256	7.9697	8.6072	9.06
MM_RS03135	6.8337	7.88	9.8897	10.1879	5.4235	6.8869	7.7705	7.5832
MM_RS03140	6.644	7.1735	9.2374	9.2121	5.7082	6.7341	6.8357	7.5832
MM_RS03145	5.2587	5.7417	5.4255	5.3197	5.7919	5.8425	5.8167	5.7587
MM_RS03150	7.7312	8.6941	8.6526	7.6816	6.7187	7.2947	6.8599	6.631
MM_RS03155	6.7835	7.5089	8.415	7.0487	6.2714	6.5857	6.8112	6.485
MM_RS03160	6.8918	7.1151	5.8239	5.8004	6.3285	6.2332	4.7768	5.7946
MM_RS03165	4.2859	4.3133	3.9268	4.3479	3.5401	4.533	4.6713	4.6726
MM_RS03170	7.773	7.5179	6.0224	5.7203	7.7238	7.239	7.5801	6.0234
MM_RS03175	5.1034	4.8799	3.9975	3.8402	4.3955	4.334	5.6604	4.5091
MM_RS03180	8.385	8.1577	9.5027	7.7786	7.6805	7.768	7.7832	7.9834
MM_RS03185	4.1004	4.2852	5.4507	4.9144	4.5954	5.132	6.3477	5.8971
MM_RS03190	7.8725	8.0031	7.3977	7.1514	9.6512	9.4227	8.7368	8.9609
MM_RS03195	6.0535	6.2558	6.3184	6.9469	7.3899	7.4622	7.9159	8.0442
MM_RS03200	5.9479	6.634	6.564	7.1284	6.1498	6.4694	5.0534	6.2208
MM_RS03205	6.6992	6.4759	6.128	6.9644	6.2714	6.5857	6.3814	5.4342
MM_RS03210	7.0362	7.3925	6.3985	7.1666	7.9223	7.4377	6.8357	7.0572
MM_RS03215	3.8872	4.6132	3.6027	4.1779	5.7919	5.6423	3.7933	5.7219
MM_RS03220	5.5983	4.6576	4.6284	4.1165	6.085	5.004	5.9577	5.6056
MM_RS03225	8.1672	8.8382	8.9591	7.7736	6.9179	7.634	7.2735	7.374
MM_RS03230	9.2981	9.1193	9.3432	8.9806	8.7886	8.5241	9.2971	8.2901
MM_RS03235	8.0187	7.444	7.0423	7.1741	8.4585	7.5564	7.5801	6.6507
MM_RS03240	6.6326	6.1434	5.7748	6.8656	5.3145	4.1028	4.2986	2.6452
MM_RS03245	5.9295	5.9342	5.4878	5.4983	6.2714	5.5537	5.6043	5.2397
MM_RS03260	3.725	3.3607	4.0648	3.2878	3.5401	2.7316	5.2853	4.2227
MM_RS03265	5.0702	4.9881	6.1436	5.4244	3.5401	3.8269	4.7768	3.8641
MM_RS03270	7.8236	7.0542	9.163	8.9502	8.952	8.2418	11.0872	11.3194
MM_RS03275	9.2303	8.6564	10.7477	11.8284	8.3796	8.4401	10.2832	11.0616
