gene_id	log2FC_TE_riborex	pvalue_TE_riborex	padj_TE_riborex	baseMean_counts	log2FC_basis	TPM_RNA_NitrogenPlus	TPM_RNA_NitrogenMinus	TPM_Ribo_NitrogenPlus	TPM_Ribo_NitrogenMinus	RPKM_RNA_NitrogenPlus	RPKM_RNA_NitrogenMinus	RPKM_Ribo_NitrogenPlus	RPKM_Ribo_NitrogenMinus	FPKM_RNA_NitrogenPlus	FPKM_RNA_NitrogenMinus	FPKM_Ribo_NitrogenPlus	FPKM_Ribo_NitrogenMinus
MM_RS03950	-1.39704165330212	0.337690106554615	0.615388077593628	248.915173528766	raw_counts / DESeq2 median-of-ratios (via riborex)	0.373	0.494	26.915	12.671	77.49	107.439	1447.934	554.192	77.49	107.439	1447.934	554.192
MM_RS03610	-0.764865117387388	0.337480972581424	0.615388077593628	207.44421069963	raw_counts / DESeq2 median-of-ratios (via riborex)	0.446	0.371	6.238	5.993	96.193	79.016	366.005	272.034	96.193	79.016	366.005	272.034
MM_RS01595	0.639792473426198	0.338820957567244	0.61702068971677	113.58924096442	raw_counts / DESeq2 median-of-ratios (via riborex)	1.03	1.879	9.811	27.539	219.457	406.33	595.54	1232.254	219.457	406.33	595.54	1232.254
MM_RS05835	2.33448323996895	0.339833499350376	0.617480188232317	58716.2155456541	raw_counts / DESeq2 median-of-ratios (via riborex)	71.973	182.89	12.375	131.415	15747.218	39965.941	792.94	5725.992	15747.218	39965.941	792.94	5725.992
MM_RS00365	-1.01484992036289	0.340612916259211	0.617480188232317	61.2614035373346	raw_counts / DESeq2 median-of-ratios (via riborex)	0.109	0.075	1.237	0.819	23.054	15.88	68.671	39.776	23.054	15.88	68.671	39.776
MM_RS07065	0.903007292462885	0.33988002114584	0.617480188232317	1093.83333289934	raw_counts / DESeq2 median-of-ratios (via riborex)	0.793	1.739	8.343	24.878	165.37	376.747	484.418	1097.631	165.37	376.747	484.418	1097.631
MM_RS15265	0.853242928240949	0.340088045332885	0.617480188232317	68.5677113550422	raw_counts / DESeq2 median-of-ratios (via riborex)	0.096	0.27	0.933	2.685	20.69	58.746	54.05	117.125	20.69	58.746	54.05	117.125
MM_RS16005	0.745780332791213	0.340053287670284	0.617480188232317	94.5475531094937	raw_counts / DESeq2 median-of-ratios (via riborex)	0.042	0.077	0.556	1.751	8.81	16.262	34.294	78.954	8.81	16.262	34.294	78.954
MM_RS17925	0.68339929524935	0.340719266088586	0.617480188232317	99.7959058744974	raw_counts / DESeq2 median-of-ratios (via riborex)	0.057	0.045	0.834	2.075	12.089	9.781	47.863	90.007	12.089	9.781	47.863	90.007
MM_RS03395	-0.543080314218439	0.340611090665777	0.617480188232317	160.80955250863	raw_counts / DESeq2 median-of-ratios (via riborex)	0.19	0.09	1.189	1.301	40.189	19.244	69.184	58.965	40.189	19.244	69.184	58.965
MM_RS12515	-1.00209431894173	0.341501703451715	0.618471360871865	83.9160274417562	raw_counts / DESeq2 median-of-ratios (via riborex)	0.193	0.134	1.821	1.207	40.678	28.828	99.543	52.446	40.678	28.828	99.543	52.446
MM_RS00815	0.660750584886041	0.342274600797224	0.619443901925231	93.4817399487681	raw_counts / DESeq2 median-of-ratios (via riborex)	0.045	0.048	0.318	0.758	9.61	10.185	18.125	33.876	9.61	10.185	18.125	33.876
MM_RS06660	-1.19469613102705	0.344009871541827	0.620330705188901	71137.1870558591	raw_counts / DESeq2 median-of-ratios (via riborex)	73.408	18.493	391.031	219.641	15265.334	4148.508	21241.839	9566.452	15265.334	4148.508	21241.839	9566.452
MM_RS17420	-0.886128466839092	0.344669765541507	0.620330705188901	131.865121574091	raw_counts / DESeq2 median-of-ratios (via riborex)	0.243	0.159	0.785	0.735	52.421	34.661	46.806	32.331	52.421	34.661	46.806	32.331
MM_RS16160	0.790199116531955	0.344646447233986	0.620330705188901	79.340356488259	raw_counts / DESeq2 median-of-ratios (via riborex)	0.159	0.194	0.798	2.294	34.028	40.364	47.463	109.581	34.028	40.364	47.463	109.581
MM_RS14915	0.709728112517766	0.343937456766329	0.620330705188901	50.5178066072977	raw_counts / DESeq2 median-of-ratios (via riborex)	0.127	0.136	0.567	1.46	27.118	28.982	32.779	65.421	27.118	28.982	32.779	65.421
MM_RS12280	-0.70841092874449	0.343874041000596	0.620330705188901	484.315611310101	raw_counts / DESeq2 median-of-ratios (via riborex)	0.562	0.282	3.526	3.249	118.337	60.726	200.501	140.54	118.337	60.726	200.501	140.54
MM_RS10450	-0.699219823680522	0.344944615843577	0.620330705188901	3151.06356948297	raw_counts / DESeq2 median-of-ratios (via riborex)	1331.962	1447.545	460.35	443.357	280726.855	311683.641	26432.228	18933.977	280726.855	311683.641	26432.228	18933.977
MM_RS19050	0.688547655845143	0.34444996090235	0.620330705188901	56.9291264576537	raw_counts / DESeq2 median-of-ratios (via riborex)	0.129	0.143	0.387	1.086	27.55	30.692	23.277	49.061	27.55	30.692	23.277	49.061
MM_RS00660	-0.665728864532051	0.343880797325556	0.620330705188901	481.036664565459	raw_counts / DESeq2 median-of-ratios (via riborex)	0.76	0.634	19.648	21.321	160.006	138.079	1170.183	938.913	160.006	138.079	1170.183	938.913
MM_RS08365	-0.575191556612501	0.3451268698709	0.620330705188901	818.585619070843	raw_counts / DESeq2 median-of-ratios (via riborex)	0.886	0.824	6.422	7.928	187.894	176.802	392.538	357.352	187.894	176.802	392.538	357.352
